cf_timestamp_ms,host_monotonic_s,motion.outlierCount,motion.motion,motion.std
98211,1891.812898,0,48,2.0
98231,1891.832943,0,176,2.0
98251,1891.852876,0,48,2.0
98271,1891.872874,0,176,2.0
98291,1891.892875,0,48,2.0
98311,1891.912883,0,176,2.0
98331,1891.932874,0,176,2.0
98351,1891.952873,0,176,2.0
98371,1891.972874,0,176,2.0
98391,1891.992870,0,176,2.0
98411,1892.012874,0,176,2.0
98431,1892.032910,0,176,2.0
98451,1892.052873,0,176,2.0
98471,1892.072869,0,176,2.0
98491,1892.092869,0,176,2.0
98511,1892.112876,0,176,2.0
98531,1892.132865,0,176,2.0
98551,1892.152866,0,176,2.0
98571,1892.172871,0,48,2.0
98591,1892.192868,0,48,2.0
98611,1892.212896,0,176,2.0
98631,1892.232868,0,176,2.0
98651,1892.252876,0,176,2.0
98671,1892.272866,0,176,2.0
98691,1892.292872,0,48,2.0
98711,1892.312864,0,176,2.0
98731,1892.332865,0,48,2.0
98751,1892.352862,0,176,2.0
98771,1892.372864,0,176,2.0
98791,1892.392866,0,176,2.0
98811,1892.412861,0,48,2.0
98831,1892.432860,0,176,2.0
98851,1892.452861,0,176,2.0
98871,1892.472866,0,176,2.0
98891,1892.492859,0,176,2.0
98911,1892.512860,0,176,2.0
98931,1892.532860,0,176,2.0
98951,1892.552857,0,176,2.0
98971,1892.572858,0,176,2.0
98991,1892.591871,0,176,2.0
99011,1892.611858,0,176,2.0
99031,1892.631860,0,176,2.0
99051,1892.651859,0,176,2.0
99071,1892.671857,0,176,2.0
99091,1892.691861,0,176,2.0
99111,1892.711859,0,176,2.0
99131,1892.731856,0,176,2.0
99151,1892.751852,0,176,2.0
99171,1892.771853,0,176,2.0
99191,1892.791858,0,176,2.0
99211,1892.811860,0,176,2.0
99231,1892.831850,0,48,2.0
99251,1892.851853,0,176,2.0
99271,1892.871853,0,176,2.0
99291,1892.891894,0,176,2.0
99311,1892.911854,0,176,2.0
99331,1892.931849,0,176,2.0
99351,1892.951855,0,176,2.0
99371,1892.971848,0,176,2.0
99391,1892.991854,0,176,2.0
99411,1893.011847,0,176,2.0
99431,1893.031846,0,176,2.0
99451,1893.051869,0,176,2.0
99471,1893.071812,0,176,2.0
99491,1893.091812,0,176,2.0
99511,1893.111800,0,48,2.0
99531,1893.131849,0,176,2.0
99551,1893.151847,0,48,2.0
99571,1893.171845,0,48,2.0
99591,1893.191870,0,176,2.0
99611,1893.211844,0,48,2.0
99631,1893.231842,0,48,2.0
99651,1893.251839,0,48,2.0
99671,1893.271844,0,176,2.0
99691,1893.291858,0,176,2.0
99711,1893.311859,0,176,2.0
99731,1893.331848,0,176,2.0
99751,1893.351841,0,176,2.0
99771,1893.371844,0,176,2.0
99791,1893.391855,0,48,2.0
99811,1893.411846,0,176,2.0
99831,1893.431841,0,48,2.0
99851,1893.451837,0,176,2.0
99871,1893.471837,0,176,2.0
99891,1893.491842,0,48,2.0
99911,1893.511907,0,176,2.0
99931,1893.531839,0,48,2.0
99951,1893.551838,0,48,2.0
99971,1893.571837,0,176,2.0
99991,1893.591847,0,48,2.0
100011,1893.611835,0,48,2.0
100031,1893.631842,0,176,2.0
100051,1893.651832,0,176,2.0
100071,1893.671836,0,176,2.0
100091,1893.691848,0,48,2.0
100111,1893.711832,0,176,2.0
100131,1893.731865,0,176,2.0
100151,1893.751831,0,48,2.0
100171,1893.771834,0,48,2.0
100191,1893.791843,0,48,2.0
100211,1893.811829,0,176,2.0
100231,1893.831832,0,48,2.0
100251,1893.851830,0,48,2.0
100271,1893.871830,0,176,2.0
100291,1893.891841,0,48,2.0
100311,1893.911827,0,48,2.0
100331,1893.931856,0,48,2.0
100351,1893.951840,0,48,2.0
100371,1893.971828,0,48,2.0
100391,1893.990828,0,48,2.0
100411,1894.010831,0,176,2.0
100431,1894.031831,0,176,2.0
100451,1894.051824,0,176,2.0
100471,1894.071827,0,176,2.0
