cf_timestamp_ms,host_monotonic_s,sensorFilter.surfN,sensorFilter.surfBaroD,sensorFilter.surfCandInn,sensorFilter.surfState,sensorFilter.surfReason
198534,1992.064559,5,0.45931243896484375,10.454248428344727,1,3
198554,1992.084562,5,0.46478271484375,9.942557334899902,1,3
198574,1992.104561,5,0.46478271484375,9.942557334899902,1,3
198594,1992.124570,5,0.46478271484375,9.942557334899902,1,3
198614,1992.144558,5,0.3280830383300781,10.090782165527344,1,3
198634,1992.163560,5,0.3280830383300781,10.090782165527344,1,3
198654,1992.184558,5,0.311676025390625,10.024452209472656,1,3
198674,1992.203558,5,0.311676025390625,10.024452209472656,1,3
198694,1992.223558,5,0.3280830383300781,9.872138023376465,1,3
198714,1992.243561,5,0.3280830383300781,9.872138023376465,1,3
198734,1992.263529,5,0.3554229736328125,9.8616361618042,1,3
198754,1992.283556,5,0.3554229736328125,9.8616361618042,1,3
198774,1992.303557,5,0.4265098571777344,9.79602336883545,1,3
198794,1992.324570,5,0.4265098571777344,9.79602336883545,1,3
198814,1992.343554,5,0.4265098571777344,9.74853515625,1,3
198834,1992.363553,5,0.4265098571777344,9.74853515625,1,3
198854,1992.383558,5,0.399169921875,9.427261352539062,1,3
198874,1992.403554,5,0.399169921875,9.427261352539062,1,3
198894,1992.423554,5,0.3663597106933594,9.072479248046875,1,3
198914,1992.443558,5,0.3663597106933594,9.072479248046875,1,3
198934,1992.463551,5,0.3663597106933594,9.072479248046875,1,3
198954,1992.483555,5,0.399169921875,9.090432167053223,1,3
198974,1992.503554,5,0.399169921875,9.090432167053223,1,3
198994,1992.523550,1,0.30074310302734375,9.070047378540039,1,3
199014,1992.543551,1,0.30074310302734375,9.070047378540039,1,3
199034,1992.563550,1,0.30074310302734375,8.989447593688965,1,3
199054,1992.583555,1,0.30074310302734375,8.989447593688965,1,3
199074,1992.603547,2,0.4265098571777344,8.894743919372559,1,3
199094,1992.623547,2,0.4265098571777344,8.894743919372559,1,3
199114,1992.643548,3,0.4811897277832031,8.776302337646484,1,3
199134,1992.664548,3,0.4811897277832031,8.776302337646484,1,3
199154,1992.683552,4,0.4265098571777344,8.71435260772705,1,3
199174,1992.704548,4,0.4265098571777344,8.71435260772705,1,3
199194,1992.723547,5,0.4374427795410156,8.54295539855957,1,3
199214,1992.743549,5,0.4374427795410156,8.54295539855957,1,3
199234,1992.763545,5,0.3663597106933594,8.562644958496094,1,3
199254,1992.783546,5,0.3663597106933594,8.562644958496094,1,3
199274,1992.803546,5,0.3062095642089844,8.294976234436035,1,3
199294,1992.823546,5,0.3062095642089844,8.294976234436035,1,3
199314,1992.843544,5,0.3062095642089844,8.294976234436035,1,3
199334,1992.863578,5,0.25152587890625,8.298548698425293,1,3
199354,1992.884573,5,0.25152587890625,8.298548698425293,1,3
199374,1992.903544,5,0.2898063659667969,8.304933547973633,1,3
199394,1992.923543,5,0.2898063659667969,8.304933547973633,1,3
199414,1992.943546,5,0.3280830383300781,8.141312599182129,1,3
199434,1992.963538,5,0.3280830383300781,8.141312599182129,1,3
199454,1992.983539,5,0.3226127624511719,8.08975601196289,1,3
199474,1993.003538,5,0.3226127624511719,8.08975601196289,1,3
199494,1993.023546,5,0.33354949951171875,8.07913875579834,1,3
