cf_timestamp_ms,host_monotonic_s,motion.deltaX,motion.deltaY,motion.shutter,motion.squal
199710,1993.238529,0,0,2454,138
199730,1993.258534,0,0,2454,143
199750,1993.279575,0,0,2454,141
199770,1993.298558,0,1,2454,139
199790,1993.318533,0,0,2454,135
199810,1993.338527,0,0,2454,138
199830,1993.358532,0,1,2454,142
199850,1993.379540,0,-1,2454,145
199870,1993.398529,0,0,2454,137
199890,1993.418527,0,0,2454,139
199910,1993.438526,1,0,2454,137
199930,1993.458531,0,0,2454,142
199950,1993.480141,-1,0,2454,138
199970,1993.499114,0,0,2454,140
199990,1993.519153,0,0,2454,138
200010,1993.539109,0,0,2454,144
200030,1993.559108,3,0,2454,142
200050,1993.579118,-1,-1,2454,139
200070,1993.599115,-3,1,2454,143
200090,1993.619106,0,0,2454,140
200110,1993.639103,-2,2,2454,133
200130,1993.659104,0,-1,2454,139
200150,1993.680151,-1,2,2454,133
200170,1993.699104,-1,0,2454,137
200190,1993.719102,0,1,2454,136
200210,1993.739101,0,0,2454,137
200230,1993.759104,-1,0,2454,145
200250,1993.778104,0,-1,2454,143
200270,1993.799104,0,1,2454,144
200290,1993.819131,0,0,2454,140
200310,1993.838102,0,0,2454,137
200330,1993.858103,-1,2,2454,137
200350,1993.878100,0,1,2454,140
200370,1993.898103,0,2,2454,138
200390,1993.918096,-1,0,2454,139
200410,1993.938095,0,0,2454,141
200430,1993.958109,0,0,2454,139
200450,1993.978098,0,0,2454,138
200470,1993.998097,0,0,2454,141
200490,1994.018098,0,0,2454,140
200510,1994.038097,0,0,2454,139
200530,1994.058111,0,0,2454,142
200550,1994.078098,0,0,2454,137
200570,1994.098098,0,0,2454,137
200590,1994.118101,1,0,2454,141
200610,1994.138110,0,0,2454,140
200630,1994.158096,0,0,2454,140
200650,1994.178093,0,-1,2454,141
200670,1994.198095,0,0,2454,138
200690,1994.218091,1,0,2454,139
200710,1994.238092,0,0,2454,141
200730,1994.258104,0,0,2454,141
200750,1994.278092,0,0,2454,140
200770,1994.298119,0,0,2454,138
200790,1994.318106,0,0,2454,137
200810,1994.338122,0,0,2454,140
200830,1994.358115,1,0,2454,138
200850,1994.378108,0,0,2454,137
