cf_timestamp_ms,host_monotonic_s,sensorFilter.surfN,sensorFilter.surfBaroD,sensorFilter.surfCandInn,sensorFilter.surfState,sensorFilter.surfReason
63874,1857.500668,0,0.0,0.0,0,0
63894,1857.520692,0,0.0,0.0,0,0
63914,1857.540680,0,0.0,0.0,0,0
63934,1857.560668,0,0.0,0.0,0,0
63954,1857.580667,0,0.0,0.0,0,0
63974,1857.600669,0,0.0,0.0,0,0
63994,1857.620675,0,0.0,0.0,0,0
64014,1857.640686,0,0.0,0.0,0,0
64034,1857.660666,0,0.0,0.0,0,0
64054,1857.680665,0,0.0,0.0,0,0
64074,1857.700664,0,0.0,0.0,0,0
64094,1857.720682,0,0.0,0.0,0,0
64114,1857.740676,0,0.0,0.0,0,0
64134,1857.760663,0,0.0,0.0,0,0
64154,1857.780662,0,0.0,0.0,0,0
64174,1857.800661,0,0.0,0.0,0,0
64194,1857.820671,0,0.0,0.0,0,0
64214,1857.840683,0,0.0,0.0,0,0
64234,1857.860663,0,0.0,0.0,0,0
64254,1857.880660,0,0.0,0.0,0,0
64274,1857.900661,0,0.0,0.0,0,0
64294,1857.920670,0,0.0,0.0,0,0
64314,1857.940671,0,0.0,0.0,0,0
64334,1857.960660,0,0.0,0.0,0,0
64354,1857.980656,0,0.0,0.0,0,0
64374,1858.000659,0,0.0,0.0,0,0
64394,1858.020668,0,0.0,0.0,0,0
64414,1858.040655,0,0.0,0.0,0,0
64434,1858.060659,0,0.0,0.0,0,0
64454,1858.080656,0,0.0,0.0,0,0
64474,1858.100656,0,0.0,0.0,0,0
64494,1858.120666,0,0.0,0.0,0,0
64514,1858.140653,0,0.0,0.0,0,0
64534,1858.160657,0,0.0,0.0,0,0
64554,1858.180652,0,0.0,0.0,0,0
64574,1858.200653,0,0.0,0.0,0,0
64594,1858.220663,0,0.0,0.0,0,0
64614,1858.240663,0,0.0,0.0,0,0
64634,1858.260652,0,0.0,0.0,0,0
64654,1858.280653,0,0.0,0.0,0,0
64674,1858.300650,0,0.0,0.0,0,0
64694,1858.320661,0,0.0,0.0,0,0
64714,1858.340664,0,0.0,0.0,0,0
64734,1858.360650,0,0.0,0.0,0,0
64754,1858.380653,0,0.0,0.0,0,0
64774,1858.400648,0,0.0,0.0,0,0
64794,1858.420661,0,0.0,0.0,0,0
64814,1858.440661,0,0.0,0.0,0,0
64834,1858.460649,0,0.0,0.0,0,0
64854,1858.480646,0,0.0,0.0,0,0
64874,1858.500647,0,0.0,0.0,0,0
64894,1858.519646,0,0.0,0.0,0,0
64914,1858.539646,0,0.0,0.0,0,0
64934,1858.559648,0,0.0,0.0,0,0
64954,1858.579685,0,0.0,0.0,0,0
64974,1858.599646,0,0.0,0.0,0,0
64994,1858.619642,0,0.0,0.0,0,0
65014,1858.639645,0,0.0,0.0,0,0
65034,1858.659647,0,0.0,0.0,0,0
65054,1858.679643,0,0.0,0.0,0,0
