cf_timestamp_ms,host_monotonic_s,sensorFilter.surfBefore,sensorFilter.surfAfter,sensorFilter.surfDelta,sensorFilter.surfSign
63573,1857.200677,0.0,0.0,0.0,0
63593,1857.220680,0.0,0.0,0.0,0
63613,1857.240672,0.0,0.0,0.0,0
63633,1857.260675,0.0,0.0,0.0,0
63653,1857.280675,0.0,0.0,0.0,0
63673,1857.299687,0.0,0.0,0.0,0
63693,1857.320678,0.0,0.0,0.0,0
63713,1857.340697,0.0,0.0,0.0,0
63733,1857.360672,0.0,0.0,0.0,0
63753,1857.380675,0.0,0.0,0.0,0
63773,1857.400675,0.0,0.0,0.0,0
63793,1857.420676,0.0,0.0,0.0,0
63813,1857.439671,0.0,0.0,0.0,0
63833,1857.459678,0.0,0.0,0.0,0
63853,1857.479669,0.0,0.0,0.0,0
63873,1857.499667,0.0,0.0,0.0,0
63893,1857.519671,0.0,0.0,0.0,0
63913,1857.539670,0.0,0.0,0.0,0
63933,1857.559673,0.0,0.0,0.0,0
63953,1857.579670,0.0,0.0,0.0,0
63973,1857.599666,0.0,0.0,0.0,0
63993,1857.619669,0.0,0.0,0.0,0
64013,1857.639666,0.0,0.0,0.0,0
64033,1857.659668,0.0,0.0,0.0,0
64053,1857.679665,0.0,0.0,0.0,0
64073,1857.699667,0.0,0.0,0.0,0
64093,1857.719671,0.0,0.0,0.0,0
64113,1857.739662,0.0,0.0,0.0,0
64133,1857.759665,0.0,0.0,0.0,0
64153,1857.779663,0.0,0.0,0.0,0
64173,1857.799662,0.0,0.0,0.0,0
64193,1857.819664,0.0,0.0,0.0,0
64213,1857.839663,0.0,0.0,0.0,0
64233,1857.859667,0.0,0.0,0.0,0
64253,1857.879662,0.0,0.0,0.0,0
64273,1857.899663,0.0,0.0,0.0,0
64293,1857.919659,0.0,0.0,0.0,0
64313,1857.939663,0.0,0.0,0.0,0
64333,1857.959660,0.0,0.0,0.0,0
64353,1857.979659,0.0,0.0,0.0,0
64373,1857.999659,0.0,0.0,0.0,0
64393,1858.019658,0.0,0.0,0.0,0
64413,1858.039656,0.0,0.0,0.0,0
64433,1858.059659,0.0,0.0,0.0,0
64453,1858.079656,0.0,0.0,0.0,0
64473,1858.099658,0.0,0.0,0.0,0
64493,1858.119655,0.0,0.0,0.0,0
64513,1858.139657,0.0,0.0,0.0,0
64533,1858.159659,0.0,0.0,0.0,0
64553,1858.179656,0.0,0.0,0.0,0
64573,1858.199653,0.0,0.0,0.0,0
64593,1858.219653,0.0,0.0,0.0,0
64613,1858.239650,0.0,0.0,0.0,0
64633,1858.259654,0.0,0.0,0.0,0
64653,1858.279653,0.0,0.0,0.0,0
64673,1858.299651,0.0,0.0,0.0,0
64693,1858.319651,0.0,0.0,0.0,0
64713,1858.339653,0.0,0.0,0.0,0
64733,1858.359647,0.0,0.0,0.0,0
64753,1858.379652,0.0,0.0,0.0,0
64773,1858.399648,0.0,0.0,0.0,0
64793,1858.419651,0.0,0.0,0.0,0
64813,1858.439649,0.0,0.0,0.0,0
64833,1858.459650,0.0,0.0,0.0,0
64853,1858.479648,0.0,0.0,0.0,0
64873,1858.499647,0.0,0.0,0.0,0
64893,1858.518647,0.0,0.0,0.0,0
64913,1858.538649,0.0,0.0,0.0,0
64933,1858.558647,0.0,0.0,0.0,0
64953,1858.578673,0.0,0.0,0.0,0
64973,1858.598647,0.0,0.0,0.0,0
64993,1858.618643,0.0,0.0,0.0,0
65013,1858.638646,0.0,0.0,0.0,0
65033,1858.658647,0.0,0.0,0.0,0
65053,1858.678649,0.0,0.0,0.0,0
65073,1858.698643,0.0,0.0,0.0,0
65093,1858.718642,0.0,0.0,0.0,0
