cf_timestamp_ms,host_monotonic_s,motion.deltaX,motion.deltaY,motion.shutter,motion.squal
68870,1862.493125,0,0,8191,48
68890,1862.513124,2,3,8191,55
68910,1862.533126,-3,3,8191,47
68930,1862.553125,-2,-1,8191,64
68950,1862.573125,3,0,8191,54
68970,1862.593120,0,0,8191,57
68990,1862.613124,-2,5,8191,59
69010,1862.633124,0,0,8191,52
69030,1862.653126,0,0,8191,54
69050,1862.672128,0,0,8191,45
69070,1862.693128,2,3,8191,43
69090,1862.713119,1,2,8191,52
69110,1862.733144,-1,-3,8191,43
69130,1862.752544,-1,-4,8191,52
69150,1862.772545,1,3,8191,41
69170,1862.792548,0,0,8191,55
69190,1862.812584,-8,1,8191,54
69210,1862.832544,5,3,8191,49
69230,1862.852544,-1,-2,8191,59
69250,1862.872544,2,-1,8191,54
69270,1862.892544,-4,-2,8191,67
69290,1862.912542,0,1,8191,53
69310,1862.932538,0,0,8191,44
69330,1862.952539,0,0,8191,53
69350,1862.972543,0,2,8191,44
69370,1862.992541,-2,-1,8191,48
69390,1863.012539,4,-2,8191,56
69410,1863.032555,0,2,8191,44
69430,1863.052530,1,-2,8191,54
69450,1863.072546,0,2,8191,37
69470,1863.092537,0,-1,8191,54
69490,1863.112544,0,0,8191,48
69510,1863.132537,0,1,8191,52
69530,1863.152534,0,-3,8191,60
69550,1863.172536,2,0,8191,55
69570,1863.192540,3,0,8191,58
69590,1863.212537,4,2,8191,52
69610,1863.232536,0,2,8191,49
69630,1863.252542,0,1,8191,49
69650,1863.272535,-3,-3,8191,49
69670,1863.292536,-3,-1,8191,43
69690,1863.312532,-2,1,8191,54
69710,1863.332533,-3,0,8191,41
69730,1863.352530,-3,0,8191,56
69750,1863.372533,3,3,8191,42
69770,1863.392536,1,0,8191,53
69790,1863.412528,-3,-3,8191,53
69810,1863.432529,3,4,8191,49
69830,1863.452535,-2,3,8191,61
69850,1863.472532,-2,-1,8191,54
69870,1863.492533,-2,-3,8191,60
69890,1863.512527,3,-1,8191,55
69910,1863.532527,0,1,8191,52
69930,1863.552525,0,0,8191,52
69950,1863.572529,-6,2,8191,49
69970,1863.592530,3,-1,8191,44
69990,1863.612523,-3,1,8191,56
70010,1863.632525,3,3,8191,44
70030,1863.652527,-2,-4,8191,59
70050,1863.672529,0,0,8191,40
70070,1863.692524,-5,1,8191,58
70090,1863.712526,5,2,8191,53
70110,1863.731523,0,-8,8191,52
70130,1863.752519,-3,3,8191,59
70150,1863.771533,-2,3,8191,60
70170,1863.791527,0,0,8191,58
70190,1863.811521,3,3,8191,59
70210,1863.831520,0,0,8191,51
70230,1863.851521,5,-2,8191,55
70250,1863.871533,0,-3,8191,50
70270,1863.891529,-7,1,8191,39
70290,1863.911519,0,-2,8191,55
70310,1863.931517,3,4,8191,43
70330,1863.951519,2,-4,8191,56
70350,1863.971556,1,2,8191,43
70370,1863.991524,4,0,8191,55
70390,1864.011518,-3,0,8191,49
70410,1864.031518,0,0,8191,52
70430,1864.051515,5,0,8191,59
70450,1864.071517,-3,0,8191,62
70470,1864.092103,-1,0,8191,47
70490,1864.112096,4,-1,8191,44
70510,1864.132098,-2,0,8191,54
70530,1864.152095,0,3,8191,39
70550,1864.172103,2,0,8191,61
70570,1864.192099,3,3,8191,43
70590,1864.212094,-2,-1,8191,50
70610,1864.232095,7,-2,8191,60
70630,1864.252099,4,4,8191,49
70650,1864.272099,2,-3,8191,56
70670,1864.291518,2,0,8191,57
70690,1864.311511,-3,2,8191,62
70710,1864.331512,3,0,8191,57
70730,1864.351507,0,0,8191,50
70750,1864.371510,3,3,8191,46
70770,1864.391515,3,0,8191,54
70790,1864.411506,-2,0,8191,46
70810,1864.431513,-2,-1,8191,62
70830,1864.451507,2,0,8191,42
70850,1864.471506,4,-1,8191,59
70870,1864.491507,-5,5,8191,43
70890,1864.511505,2,0,8191,52
70910,1864.531508,-2,0,8191,58
70930,1864.551502,0,1,8191,57
70950,1864.571509,-1,-4,8191,59
70970,1864.591508,0,0,8191,61
70990,1864.611504,-3,-2,8191,60
71010,1864.631506,0,1,8191,55
71030,1864.651501,1,-8,8191,51
71050,1864.671502,0,3,8191,48
71070,1864.691507,2,0,8191,56
71090,1864.711517,2,-1,8191,42
71110,1864.731508,-2,0,8191,55
71130,1864.751496,3,-1,8191,41
71150,1864.771503,2,0,8191,60
71170,1864.791511,-4,0,8191,46
71190,1864.811498,0,1,8191,58
71210,1864.831503,2,-5,8191,59
71230,1864.851497,3,1,8191,54
71250,1864.871498,-4,-3,8191,71
71270,1864.891503,-2,1,8191,56
71290,1864.911485,2,-1,8191,61
71310,1864.931501,1,0,8191,56
71330,1864.951532,-2,2,8191,53
71350,1864.971497,2,3,8191,55
71370,1864.991502,-1,0,8191,51
71390,1865.011493,-1,-7,8191,40
71410,1865.031494,-3,-1,8191,58
71430,1865.051490,0,0,8191,47
71450,1865.071495,0,-1,8191,56
71470,1865.091496,0,0,8191,47
71490,1865.111496,0,1,8191,54
71510,1865.131525,0,-1,8191,58
71530,1865.151488,5,0,8191,56
71550,1865.171494,0,-2,8191,66
71570,1865.191498,-1,1,8191,62
71590,1865.211488,-3,-4,8191,67
71610,1865.231495,-3,5,8191,55
71630,1865.251488,-1,-3,8191,56
71650,1865.271489,0,0,8191,56
71670,1865.291486,-3,0,8191,52
71690,1865.311486,0,0,8191,48
71710,1865.331518,0,-1,8191,65
71730,1865.351490,-4,-5,8191,46
71750,1865.371487,2,1,8191,61
71770,1865.390484,3,-4,8191,51
71790,1865.410484,-3,-3,8191,58
71810,1865.430491,0,0,8191,55
71830,1865.450482,1,2,8191,47
71850,1865.470486,-3,1,8191,62
71870,1865.490484,6,0,8191,54
71890,1865.510482,0,0,8191,60
71910,1865.530509,0,-1,8191,59
71930,1865.550442,-2,-4,8191,50
71950,1865.570440,0,1,8191,50
71970,1865.590446,0,-1,8191,55
71990,1865.610444,2,2,8191,44
72010,1865.630447,4,0,8191,63
72030,1865.650450,2,3,8191,48
72050,1865.670449,-3,2,8191,60
72070,1865.690454,0,1,8191,55
72090,1865.710448,4,5,8191,60
72110,1865.730447,-1,-1,8191,67
72130,1865.750445,0,0,8191,54
72150,1865.770450,0,0,8191,62
72170,1865.790449,0,1,8191,58
72190,1865.810450,-2,0,8191,65
72210,1865.830444,-1,0,8191,60
72230,1865.850027,-3,0,8191,58
72250,1865.870026,3,0,8191,50
72270,1865.890041,4,3,8191,58
72290,1865.910039,2,-2,8191,52
72310,1865.930023,-7,1,8191,62
72330,1865.950027,0,0,8191,47
72350,1865.970055,1,-2,8191,61
72370,1865.990037,5,0,8191,53
72390,1866.010037,1,0,8191,59
72410,1866.030054,4,-1,8191,61
72430,1866.050057,-5,-1,8191,58
72450,1866.070056,0,0,8191,57
72470,1866.090028,3,-4,8191,48
72490,1866.110025,2,0,8191,64
72510,1866.130099,8,-1,8191,44
72530,1866.150066,3,0,8191,62
72550,1866.170051,-8,0,8191,49
72570,1866.190491,4,-2,8191,62
72590,1866.210468,-3,1,8191,54
72610,1866.230467,5,-4,8191,57
72630,1866.250467,0,0,8191,61
72650,1866.270468,-1,0,8191,61
72670,1866.290464,0,-1,8191,63
72690,1866.310466,-4,-2,8191,59
72710,1866.330465,0,1,8191,66
72730,1866.350461,0,-1,8191,58
72750,1866.370462,2,0,8191,54
72770,1866.390490,-2,0,8191,48
72790,1866.410466,6,0,8191,66
72810,1866.430476,0,0,8191,54
72830,1866.450460,6,0,8191,58
72850,1866.470459,-3,0,8191,47
72870,1866.490474,0,-1,8191,55
72890,1866.510460,3,0,8191,60
72910,1866.530460,3,3,8191,57
72930,1866.550463,-6,-1,8191,62
72950,1866.570458,0,0,8191,61
72970,1866.589462,0,0,8191,66
72990,1866.610462,7,-1,8191,63
73010,1866.629460,0,3,8191,58
73030,1866.649455,-3,-1,8191,56
73050,1866.669459,0,0,8191,59
73070,1866.689460,2,4,8191,47
73090,1866.709458,4,0,8191,66
73110,1866.729454,3,3,8191,49
73130,1866.749452,-4,-2,8191,58
73150,1866.769464,4,3,8191,51
73170,1866.789455,-1,0,8191,60
73190,1866.809450,-5,1,8191,63
73210,1866.829462,0,0,8191,60
73230,1866.849456,-1,0,8191,69
73250,1866.869452,5,-1,8191,64
73270,1866.890503,-1,-2,8191,67
73290,1866.909504,-3,-1,8191,64
73310,1866.929461,-4,-2,8191,63
73330,1866.949451,0,1,8191,55
73350,1866.969475,4,-5,8191,57
73370,1866.989514,0,-3,8191,52
73390,1867.009485,0,0,8191,64
73410,1867.029457,-2,0,8191,52
73430,1867.049450,-2,2,8191,59
73450,1867.069462,1,0,8191,52
73470,1867.089459,-3,-1,8191,59
73490,1867.109491,-3,0,8191,68
73510,1867.129472,-1,-2,8191,62
73530,1867.149450,-2,-5,8191,67
73550,1867.169448,3,-3,8191,67
73570,1867.189454,-6,0,8191,66
73590,1867.209488,0,0,8191,63
73610,1867.229454,2,0,8191,62
73630,1867.249452,0,0,8191,58
73650,1867.269450,2,-1,8191,61
73670,1867.289457,0,1,8191,55
73690,1867.309536,-7,-1,8191,62
73710,1867.329479,-2,0,8191,49
73730,1867.349447,3,-1,8191,64
73750,1867.369443,-3,0,8191,59
73770,1867.389454,-6,1,8191,64
73790,1867.409497,-1,-1,8191,67
73810,1867.429449,-1,0,8191,57
73830,1867.449439,0,-2,8191,67
73850,1867.469445,2,1,8191,59
73870,1867.489448,0,-4,8191,63
73890,1867.509458,0,-1,8191,65
73910,1867.529456,0,1,8191,59
73930,1867.549440,0,0,8191,57
73950,1867.569436,-3,5,8191,61
73970,1867.589434,0,0,8191,48
73990,1867.609457,7,0,8191,62
74010,1867.629436,0,-1,8191,52
74030,1867.649432,3,0,8191,64
74050,1867.669438,-2,0,8191,58
74070,1867.689434,7,-1,8191,60
74090,1867.709432,0,0,8191,70
74110,1867.729439,2,1,8191,64
74130,1867.749430,8,0,8191,66
74150,1867.769431,-3,-2,8191,68
74170,1867.789432,0,0,8191,63
74190,1867.809457,2,0,8191,62
74210,1867.829452,-1,-1,8191,61
74230,1867.849435,-5,3,8191,57
74250,1867.869430,4,-1,8191,59
74270,1867.889434,6,-1,8191,66
74290,1867.909453,0,4,8191,62
74310,1867.929439,0,0,8191,70
74330,1867.949430,2,0,8191,66
74350,1867.969429,6,-2,8191,66
74370,1867.989426,0,0,8191,67
74390,1868.009436,0,-3,8191,62
74410,1868.029429,4,3,8191,59
74430,1868.048425,8,-1,8191,59
74450,1868.068424,-1,0,8191,50
74470,1868.088425,0,0,8191,65
74490,1868.108425,5,0,8191,51
74510,1868.128418,2,3,8191,67
74530,1868.148419,-3,1,8191,55
74550,1868.168424,3,0,8191,62
74570,1868.188423,0,-2,8191,63
74590,1868.208462,0,-1,8191,64
74610,1868.228419,0,4,8191,70
74630,1868.248418,-3,-4,8191,67
74650,1868.268415,-8,1,8191,63
74670,1868.288419,0,0,8191,74
74690,1868.308421,0,0,8191,63
74710,1868.328420,-4,1,8191,63
74730,1868.348425,3,-1,8191,59
74750,1868.368417,1,4,8191,57
74770,1868.388418,6,1,8191,65
74790,1868.408423,-6,0,8191,55
74810,1868.428418,2,0,8191,66
74830,1868.448414,2,2,8191,63
74850,1868.468413,-4,1,8191,61
74870,1868.488418,-6,-1,8191,69
74890,1868.508422,2,0,8191,67
74910,1868.528425,-2,4,8191,70
74930,1868.548413,0,0,8191,64
74950,1868.568415,-7,0,8191,69
74970,1868.588417,1,1,8191,64
74990,1868.608421,-1,0,8191,62
75010,1868.628424,3,0,8191,66
75030,1868.648418,-8,0,8191,62
75050,1868.668417,2,0,8191,53
75070,1868.688417,-2,0,8191,65
75090,1868.708446,2,0,8191,50
75110,1868.728420,-1,0,8191,66
75130,1868.748416,3,-4,8191,58
75150,1868.768419,-5,4,8191,65
75170,1868.788413,0,-1,8191,71
75190,1868.808419,0,0,8191,68
75210,1868.828429,0,0,8191,77
75230,1868.848417,0,-4,8191,65
75250,1868.868406,0,0,8191,68
75270,1868.888411,0,0,8191,66
75290,1868.908454,0,0,8191,59
75310,1868.928431,-2,3,8191,59
75330,1868.948412,0,-1,8191,62
75350,1868.968403,4,3,8191,56
75370,1868.988406,2,1,8191,67
75390,1869.008439,6,0,8191,56
75410,1869.028404,0,0,8191,69
75430,1869.048405,0,1,8191,57
75450,1869.068403,0,0,8191,63
75470,1869.088402,1,-7,8191,68
75490,1869.108429,0,0,8191,68
75510,1869.128406,0,-4,8191,72
75530,1869.148403,5,-5,8191,70
75550,1869.168401,0,0,8191,72
75570,1869.188399,3,1,8191,65
75590,1869.208400,-3,1,8191,63
75610,1869.228394,-1,1,8191,69
75630,1869.247983,7,0,8191,63
75650,1869.267977,-1,0,8191,54
75670,1869.287982,-7,0,8191,67
75690,1869.307990,0,0,8191,57
75710,1869.327990,1,-3,8191,69
75730,1869.348981,0,0,8191,58
75750,1869.367978,4,1,8191,65
75770,1869.387976,0,0,8191,70
75790,1869.407975,0,-8,8191,65
75810,1869.427974,3,-7,8191,63
75830,1869.448391,-4,0,8191,72
75850,1869.468388,1,0,8191,67
75870,1869.488393,0,0,8191,70
75890,1869.508390,4,3,8191,69
75910,1869.528382,-4,1,8191,60
75930,1869.548405,-2,-1,8191,67
75950,1869.567386,-2,-3,8191,61
75970,1869.587393,-7,0,8191,68
75990,1869.607397,0,0,8191,57
76010,1869.627383,-1,-1,8191,67
76030,1869.647384,0,2,8191,70
76050,1869.667392,3,0,8191,69
76070,1869.687389,0,0,8191,68
76090,1869.707412,2,3,8191,66
76110,1869.727396,0,0,8191,67
76130,1869.747395,0,0,8191,56
76150,1869.767388,-1,1,8191,68
76170,1869.787392,0,0,8191,54
76190,1869.807405,3,-3,8191,69
76210,1869.827391,0,-1,8191,55
76230,1869.847390,-3,-3,8191,65
76250,1869.867384,-2,0,8191,65
76270,1869.887389,-1,0,8191,65
76290,1869.907393,-6,0,8191,68
76310,1869.927334,-1,0,8191,69
76330,1869.947356,4,0,8191,70
76350,1869.967378,4,2,8191,73
