cf_timestamp_ms,host_monotonic_s,sensorFilter.flowRange,sensorFilter.flowLocal,sensorFilter.surfOffset,sensorFilter.surfCand,sensorFilter.surfClear
65612,1859.237637,0.0,0,0.0,0.0,0.0
65632,1859.257649,0.0,0,0.0,0.0,0.0
65652,1859.277634,0.0,0,0.0,0.0,0.0
65672,1859.297635,0.0,0,0.0,0.0,0.0
65692,1859.317630,0.0,0,0.0,0.0,0.0
65712,1859.337638,0.0,0,0.0,0.0,0.0
65732,1859.357641,0.0,0,0.0,0.0,0.0
65752,1859.377628,0.0,0,0.0,0.0,0.0
65772,1859.397246,0.0,0,0.0,0.0,0.0
65792,1859.417208,0.0,0,0.0,0.0,0.0
65812,1859.437212,0.0,0,0.0,0.0,0.0
65832,1859.457207,0.0,0,0.0,0.0,0.0
65852,1859.477208,0.0,0,0.0,0.0,0.0
65872,1859.497208,0.0,0,0.0,0.0,0.0
65892,1859.517206,0.0,0,0.0,0.0,0.0
65912,1859.537208,0.0,0,0.0,0.0,0.0
65932,1859.557205,0.0,0,0.0,0.0,0.0
65952,1859.577206,0.0,0,0.0,0.0,0.0
65972,1859.597208,0.0,0,0.0,0.0,0.0
65992,1859.617206,0.0,0,0.0,0.0,0.0
66012,1859.637208,0.0,0,0.0,0.0,0.0
66032,1859.657205,0.0,0,0.0,0.0,0.0
66052,1859.677204,0.0,0,0.0,0.0,0.0
66072,1859.697202,0.0,0,0.0,0.0,0.0
66092,1859.717204,0.0,0,0.0,0.0,0.0
66112,1859.737204,0.0,0,0.0,0.0,0.0
66132,1859.757223,0.0,0,0.0,0.0,0.0
66152,1859.777202,0.0,0,0.0,0.0,0.0
66172,1859.797623,0.0,0,0.0,0.0,0.0
66192,1859.816621,0.0,0,0.0,0.0,0.0
66212,1859.836624,0.0,0,0.0,0.0,0.0
66232,1859.856621,0.0,0,0.0,0.0,0.0
66252,1859.876625,0.0,0,0.0,0.0,0.0
66272,1859.896620,0.0,0,0.0,0.0,0.0
