Timestamp,sensorFilter.flowLocal,sensorFilter.surfBaroD,sensorFilter.surfCand,sensorFilter.surfOffset,sensorFilter.surfReason,sensorFilter.surfState
3604113,0,0.0,0.0,0.0,0,0
3604133,0,0.0,0.0,0.0,0,0
3604153,0,0.0,0.0,0.0,0,0
3604173,0,0.0,0.0,0.0,0,0
3604193,0,0.0,0.0,0.0,0,0
3604213,0,0.0,0.0,0.0,0,0
3604233,0,0.0,0.0,0.0,0,0
3604253,0,0.0,0.0,0.0,0,0
3604273,0,0.0,0.0,0.0,0,0
3604293,0,0.0,0.0,0.0,0,0
3604313,0,0.0,0.0,0.0,0,0
3604333,0,0.0,0.0,0.0,0,0
3604353,0,0.0,0.0,0.0,0,0
3604373,0,0.0,0.0,0.0,0,0
3604393,0,0.0,0.0,0.0,0,0
3604413,0,0.0,0.0,0.0,0,0
3604433,0,0.0,0.0,0.0,0,0
3604453,0,0.0,0.0,0.0,0,0
3604473,0,0.0,0.0,0.0,0,0
3604493,0,0.0,0.0,0.0,0,0
3604513,0,0.0,0.0,0.0,0,0
3604533,0,0.0,0.0,0.0,0,0
3604553,0,0.0,0.0,0.0,0,0
3604573,0,0.0,0.0,0.0,0,0
3604593,0,0.0,0.0,0.0,0,0
3604613,0,0.0,0.0,0.0,0,0
3604633,0,0.0,0.0,0.0,0,0
3604653,0,0.0,0.0,0.0,0,0
3604673,0,0.0,0.0,0.0,0,0
3604693,0,0.0,0.0,0.0,0,0
3604713,0,0.0,0.0,0.0,0,0
3604734,0,0.0,0.0,0.0,0,0
3604754,0,0.0,0.0,0.0,0,0
3604774,0,0.0,0.0,0.0,0,0
3604794,0,0.0,0.0,0.0,0,0
3604814,0,0.0,0.0,0.0,0,0
3604834,0,0.0,0.0,0.0,0,0
3604854,0,0.0,0.0,0.0,0,0
3604874,0,0.0,0.0,0.0,0,0
3604893,0,0.0,0.0,0.0,0,0
3604913,0,0.0,0.0,0.0,0,0
3604933,0,0.0,0.0,0.0,0,0
3604953,0,0.0,0.0,0.0,0,0
3604973,0,0.0,0.0,0.0,0,0
3604993,0,0.0,0.0,0.0,0,0
3605013,0,0.0,0.0,0.0,0,0
3605034,0,0.0,0.0,0.0,0,0
3605053,0,0.0,0.0,0.0,0,0
3605073,0,0.0,0.0,0.0,0,0
3605093,0,0.0,0.0,0.0,0,0
3605113,0,0.0,0.0,0.0,0,0
3605133,0,0.0,0.0,0.0,0,0
3605153,0,0.0,0.0,0.0,0,0
3605173,0,0.0,0.0,0.0,0,0
3605193,0,0.0,0.0,0.0,0,0
3605213,0,0.0,0.0,0.0,0,0
3605233,0,0.0,0.0,0.0,0,0
3605253,0,0.0,0.0,0.0,0,0
3605273,0,0.0,0.0,0.0,0,0
3605293,0,0.0,0.0,0.0,0,0
3605313,0,0.0,0.0,0.0,0,0
3605333,0,0.0,0.0,0.0,0,0
3605353,0,0.0,0.0,0.0,0,0
3605373,0,0.0,0.0,0.0,0,0
3605393,0,0.0,0.0,0.0,0,0
3605413,0,0.0,0.0,0.0,0,0
3605433,0,0.0,0.0,0.0,0,0
3605453,0,0.0,0.0,0.0,0,0
3605473,0,0.0,0.0,0.0,0,0
3605493,0,0.0,0.0,0.0,0,0
3605513,0,0.0,0.0,0.0,0,0
3605533,0,0.0,0.0,0.0,0,0
3605553,0,0.0,0.0,0.0,0,0
3605573,0,0.0,0.0,0.0,0,0
3605593,0,0.0,0.0,0.0,0,0
3605613,0,0.0,0.0,0.0,0,0
3605633,0,0.0,0.0,0.0,0,0
3605653,0,0.0,0.0,0.0,0,0
3605673,0,0.0,0.0,0.0,0,0
3605693,0,0.0,0.0,0.0,0,0
3605713,0,0.0,0.0,0.0,0,0
3605733,0,0.0,0.0,0.0,0,0
3605753,0,0.0,0.0,0.0,0,0
3605773,0,0.0,0.0,0.0,0,0
3605793,0,0.0,0.0,0.0,0,0
3605813,0,0.0,0.0,0.0,0,0
3605833,0,0.0,0.0,0.0,0,0
3605853,0,0.0,0.0,0.0,0,0
3605873,0,0.0,0.0,0.0,0,0
3605893,0,0.0,0.0,0.0,0,0
3605913,0,0.0,0.0,0.0,0,0
3605933,0,0.0,0.0,0.0,0,0
3605953,0,0.0,0.0,0.0,0,0
3605973,0,0.0,0.0,0.0,0,0
3605993,0,0.0,0.0,0.0,0,0
3606013,0,0.0,0.0,0.0,0,0
3606033,0,0.0,0.0,0.0,0,0
3606053,0,0.0,0.0,0.0,0,0
3606073,0,0.0,0.0,0.0,0,0
3606093,0,0.0,0.0,0.0,0,0
3606113,0,0.0,0.0,0.0,0,0
3606133,0,0.0,0.0,0.0,0,0
3606153,0,0.0,0.0,0.0,0,0
3606173,0,0.0,0.0,0.0,0,0
3606193,0,0.0,0.0,0.0,0,0
3606213,0,0.0,0.0,0.0,0,0
3606233,0,0.0,0.0,0.0,0,0
3606253,0,0.0,0.0,0.0,0,0
3606273,0,0.0,0.0,0.0,0,0
3606293,0,0.0,0.0,0.0,0,0
3606313,0,0.0,0.0,0.0,0,0
3606333,0,0.0,0.0,0.0,0,0
3606353,0,0.0,0.0,0.0,0,0
3606373,0,0.0,0.0,0.0,0,0
3606393,0,0.0,0.0,0.0,0,0
3606413,0,0.0,0.0,0.0,0,0
3606433,0,0.0,0.0,0.0,0,0
3606453,0,0.0,0.0,0.0,0,0
3606473,0,0.0,0.0,0.0,0,0
3606493,0,0.0,0.0,0.0,0,0
3606513,0,0.0,0.0,0.0,0,0
3606533,0,0.0,0.0,0.0,0,0
3606553,0,0.0,0.0,0.0,0,0
3606573,0,0.0,0.0,0.0,0,0
3606593,0,0.0,0.0,0.0,0,0
3606613,0,0.0,0.0,0.0,0,0
3606633,0,0.0,0.0,0.0,0,0
3606653,0,0.0,0.0,0.0,0,0
3606673,0,0.0,0.0,0.0,0,0
3606693,0,0.0,0.0,0.0,0,0
3606713,0,0.0,0.0,0.0,0,0
3606733,0,0.0,0.0,0.0,0,0
3606753,0,0.0,0.0,0.0,0,0
3606773,0,0.0,0.0,0.0,0,0
3606793,0,0.0,0.0,0.0,0,0
3606813,0,0.0,0.0,0.0,0,0
3606833,0,0.0,0.0,0.0,0,0
3606853,0,0.0,0.0,0.0,0,0
3606873,0,0.0,0.0,0.0,0,0
3606893,0,0.0,0.0,0.0,0,0
3606913,0,0.0,0.0,0.0,0,0
3606933,0,0.0,0.0,0.0,0,0
3606953,0,0.0,0.0,0.0,0,0
3606973,0,0.0,0.0,0.0,0,0
3606993,0,0.0,0.0,0.0,0,0
3607013,0,0.0,0.0,0.0,0,0
3607033,0,0.0,0.0,0.0,0,0
3607053,0,0.0,0.0,0.0,0,0
3607073,0,0.0,0.0,0.0,0,0
3607093,0,0.0,0.0,0.0,0,0
3607113,0,0.0,0.0,0.0,0,0
3607133,0,0.0,0.0,0.0,0,0
3607153,0,0.0,0.0,0.0,0,0
3607173,0,0.0,0.0,0.0,0,0
3607193,0,0.0,0.0,0.0,0,0
3607213,0,0.0,0.0,0.0,0,0
3607233,0,0.0,0.0,0.0,0,0
3607253,0,0.0,0.0,0.0,0,0
3607273,0,0.0,0.0,0.0,0,0
3607293,0,0.0,0.0,0.0,0,0
3607313,0,0.0,0.0,0.0,0,0
3607333,0,0.0,0.0,0.0,0,0
3607353,0,0.0,0.0,0.0,0,0
3607373,0,0.0,0.0,0.0,0,0
3607393,0,0.0,0.0,0.0,0,0
3607413,0,0.0,0.0,0.0,0,0
3607433,0,0.0,0.0,0.0,0,0
3607453,0,0.0,0.0,0.0,0,0
3607473,0,0.0,0.0,0.0,0,0
3607493,0,0.0,0.0,0.0,0,0
3607513,0,0.0,0.0,0.0,0,0
3607533,0,0.0,0.0,0.0,0,0
