Timestamp,range.zrange,sensorFilter.innoChTof,stateEstimate.vz,stateEstimate.z
572992,702,135.85935974121094,-0.19208024442195892,-0.04745982959866524
573012,702,135.85935974121094,-0.19360242784023285,-0.05091751366853714
573032,705,137.30865478515625,-0.19436179101467133,-0.054454296827316284
573052,729,146.4425506591797,-0.19580230116844177,-0.05800224468111992
573072,729,146.4425506591797,-0.19664537906646729,-0.061407122761011124
573092,721,143.7886199951172,-0.19514146447181702,-0.06494837254285812
573112,721,143.7886199951172,-0.19173119962215424,-0.06798651814460754
573132,740,150.92367553710938,-0.1909722089767456,-0.0713312178850174
573152,734,148.90835571289062,-0.19182246923446655,-0.07473587989807129
573172,734,148.90835571289062,-0.19061143696308136,-0.07812560349702835
573192,701,137.181396484375,-0.1920032799243927,-0.08133585005998611
573212,727,146.719482421875,-0.1934940665960312,-0.08473414927721024
573232,727,146.719482421875,-0.1933327168226242,-0.08767035603523254
573252,717,143.28387451171875,-0.19448742270469666,-0.09090685844421387
573272,719,144.16180419921875,-0.1967235505580902,-0.0943157970905304
573292,719,144.16180419921875,-0.1975749135017395,-0.09769992530345917
573312,734,149.7507781982422,-0.1963750422000885,-0.10114158689975739
573332,728,147.82220458984375,-0.1954718381166458,-0.10453788936138153
573352,728,147.82220458984375,-0.19755032658576965,-0.10798783600330353
573372,778,166.18862915039062,-0.19913005828857422,-0.11118379980325699
573392,689,134.8338165283203,-0.20039106905460358,-0.1146591529250145
573412,689,134.8338165283203,-0.20085497200489044,-0.11781220138072968
573432,769,162.94361877441406,-0.19893968105316162,-0.1204574927687645
573452,769,162.94361877441406,-0.19383741915225983,-0.1236693412065506
573472,735,150.70635986328125,-0.19016361236572266,-0.12693364918231964
573492,745,154.35147094726562,-0.18839038908481598,-0.13016359508037567
573512,745,154.35147094726562,-0.1888139396905899,-0.13285185396671295
573532,722,146.2306365966797,-0.18979887664318085,-0.13584840297698975
573552,709,141.76358032226562,-0.18942596018314362,-0.13852883875370026
573572,709,141.76358032226562,-0.18908555805683136,-0.1410754919052124
573592,753,156.7582244873047,-0.18978065252304077,-0.14426018297672272
573612,734,150.1476593017578,-0.19099682569503784,-0.14706234633922577
573632,734,150.1476593017578,-0.19339971244335175,-0.1502738893032074
573652,733,149.93984985351562,-0.19455687701702118,-0.15360447764396667
573672,759,158.96995544433594,-0.1944635510444641,-0.15685860812664032
573692,759,158.96995544433594,-0.19366653263568878,-0.16014578938484192
573712,734,150.4100341796875,-0.19175539910793304,-0.1629628837108612
573732,734,150.4100341796875,-0.19109725952148438,-0.16626767814159393
573752,754,157.38514709472656,-0.19414104521274567,-0.16963297128677368
573772,754,157.38514709472656,-0.19729328155517578,-0.17307502031326294
573792,724,147.4492950439453,-0.19767248630523682,-0.17646916210651398
573812,756,158.28338623046875,-0.19667838513851166,-0.1796916127204895
573832,756,158.28338623046875,-0.19738726317882538,-0.1831882894039154
573852,762,160.4925537109375,-0.19774742424488068,-0.18619483709335327
573872,751,156.8638458251953,-0.19903169572353363,-0.1896839290857315
573892,751,156.8638458251953,-0.19889625906944275,-0.19289804995059967
573912,764,161.31117248535156,-0.1984836757183075,-0.1963207721710205
573932,730,150.10220336914062,-0.19960524141788483,-0.1991986781358719
573952,730,150.10220336914062,-0.19915565848350525,-0.20266757905483246
573972,711,144.3172607421875,-0.19967328011989594,-0.20602184534072876
573992,731,150.84620666503906,-0.20122182369232178,-0.20932702720165253
574012,731,150.84620666503906,-0.1986633688211441,-0.21261879801750183
574032,731,150.97386169433594,-0.19783292710781097,-0.21585547924041748
574052,726,149.51332092285156,-0.1985291838645935,-0.21911737322807312
574072,726,149.51332092285156,-0.1974063515663147,-0.222329780459404
574092,698,140.9329071044922,-0.19870342314243317,-0.22491802275180817
574112,698,140.9329071044922,-0.20011131465435028,-0.22741703689098358
574132,714,145.59031677246094,-0.20134465396404266,-0.2305748611688614
574152,714,145.58302307128906,-0.20034044981002808,-0.23344427347183228
574172,714,145.58302307128906,-0.19798053801059723,-0.235955148935318
