Timestamp,sensorFilter.baroAge,sensorFilter.baroLag,sensorFilter.baroSeen,sensorFilter.lateElig,sensorFilter.tofAge
577654,4,10,1,0,0
577674,4,10,1,0,0
577694,15,32,1,0,0
577714,15,32,1,0,0
577734,18,38,1,0,0
577754,10,20,1,0,1
577774,10,20,1,0,1
577794,1,1,1,0,1
577814,12,24,1,0,1
577834,12,24,1,0,1
577854,3,5,1,0,1
577874,14,29,1,0,1
577894,14,29,1,0,1
577914,5,9,1,0,1
577934,5,9,1,0,1
577954,8,16,1,0,1
577974,8,16,1,0,1
577994,19,39,1,0,1
578014,10,19,1,0,1
578034,10,19,1,0,1
578054,20,41,1,0,0
578074,12,24,1,0,1
578094,12,24,1,0,1
578114,3,5,1,0,1
578134,3,5,1,0,1
578154,14,27,1,0,1
578174,5,10,1,0,1
578194,5,10,1,0,1
578214,15,31,1,0,0
578234,7,13,1,0,1
578254,7,13,1,0,1
578274,17,37,1,0,0
578294,8,17,1,0,0
578314,8,17,1,0,0
578334,11,22,1,0,0
578354,11,22,1,0,0
578374,2,3,1,0,0
578394,12,28,1,0,4294967295
578414,12,28,1,0,4294967295
578434,4,8,1,0,0
578454,4,8,1,0,0
578474,14,31,1,0,0
578494,6,14,1,0,1
578514,6,14,1,0,1
578534,16,35,1,0,0
578554,16,35,1,0,0
578574,20,40,1,0,1
578594,10,21,1,0,0
578614,10,21,1,0,0
578634,1,3,1,0,0
578654,12,27,1,0,0
578674,12,27,1,0,0
578694,4,8,1,0,1
578714,4,8,1,0,1
578734,15,31,1,0,1
578754,6,12,1,0,1
578774,6,12,1,0,1
578794,17,35,1,0,1
578814,8,16,1,0,1
578834,8,16,1,0,1
578854,11,22,1,0,1
578874,11,22,1,0,1
578894,2,3,1,0,1
578914,12,27,1,0,0
578934,12,27,1,0,0
578954,4,7,1,0,1
578974,4,7,1,0,1
578994,15,30,1,0,1
579014,6,12,1,0,1
579034,6,12,1,0,1
579054,17,33,1,0,1
579074,8,15,1,0,1
579094,8,15,1,0,1
579114,19,39,1,0,1
579134,10,20,1,0,1
579154,10,20,1,0,1
579174,20,42,1,0,0
579194,12,24,1,0,1
579214,12,24,1,0,1
579234,2,6,1,0,0
579254,12,29,1,0,4294967295
579274,12,29,1,0,4294967295
579294,4,8,1,0,0
579314,4,8,1,0,0
579334,15,31,1,0,0
579354,6,12,1,0,0
579374,6,12,1,0,0
579394,17,34,1,0,0
579414,7,16,1,0,0
579434,7,16,1,0,0
579454,18,38,1,0,0
579475,9,19,1,0,0
579494,9,19,1,0,0
579515,0,1,1,0,0
579534,0,1,1,0,0
579555,3,8,1,0,0
579574,3,8,1,0,0
579595,14,29,1,0,0
579614,5,12,1,0,0
579634,5,12,1,0,0
579655,16,34,1,0,0
579675,8,16,1,0,1
579695,8,16,1,0,1
579715,19,40,1,0,0
579735,19,40,1,0,0
579755,3,5,1,0,1
579774,3,5,1,0,1
579795,14,28,1,0,1
579815,5,10,1,0,1
579834,5,10,1,0,1
579854,16,32,1,0,1
579874,7,14,1,0,1
579894,7,14,1,0,1
579914,18,36,1,0,1
579934,9,18,1,0,1
579954,9,18,1,0,1
579974,20,40,1,0,1
579994,11,21,1,0,1
580014,11,21,1,0,1
580034,2,3,1,0,1
580054,2,3,1,0,1
580074,12,26,1,0,0
580094,4,8,1,0,1
580114,4,8,1,0,1
580134,15,31,1,0,1
580154,5,12,1,0,0
580174,5,12,1,0,0
580194,17,35,1,0,1
580214,8,16,1,0,1
580234,8,16,1,0,1
580254,18,38,1,0,0
580274,9,18,1,0,0
580294,9,18,1,0,0
580314,20,39,1,0,0
580334,11,22,1,0,0
580354,11,22,1,0,0
580374,11,22,1,0,0
580394,14,27,1,0,0
580414,4,10,1,0,0
580434,4,10,1,0,0
580454,15,32,1,0,0
580474,6,15,1,0,0
580494,6,15,1,0,0
580514,17,36,1,0,0
580534,8,17,1,0,0
580554,8,17,1,0,0
580574,20,39,1,0,1
580594,10,22,1,0,0
580614,10,22,1,0,0
580634,2,4,1,0,1
580654,2,4,1,0,1
580674,13,27,1,0,1
580694,5,10,1,0,1
580714,5,10,1,0,1
580734,16,32,1,0,1
580754,7,13,1,0,1
580774,7,13,1,0,1
580794,18,35,1,0,1
580814,9,17,1,0,1
580834,9,17,1,0,1
580854,20,39,1,0,1
580874,20,39,1,0,1
