Timestamp,sensorFilter.baro0,sensorFilter.baroDDec,sensorFilter.baroDec,sensorFilter.surfReason,sensorFilter.surfState
581255,0.5212669372558594,0.0,0.0,8,1
581275,0.5212669372558594,0.0,0.0,8,1
581295,0.5212669372558594,0.0,0.0,8,1
581315,0.5212669372558594,0.0,0.0,8,1
581335,0.5212669372558594,0.0,0.0,8,1
581355,0.5212669372558594,0.0,0.0,8,1
581375,0.5212669372558594,0.0,0.0,8,1
581395,0.5212669372558594,0.0,0.0,8,1
581415,0.5212669372558594,0.0,0.0,8,1
581435,0.5212669372558594,0.0,0.0,8,1
581455,0.5212669372558594,0.0,0.0,8,1
581475,0.5212669372558594,0.0,0.0,8,1
581495,0.5212669372558594,0.0,0.0,8,1
581515,0.5212669372558594,0.0,0.0,8,1
581535,0.5212669372558594,0.0,0.0,8,1
581555,0.5212669372558594,0.0,0.0,8,1
581575,0.5212669372558594,0.0,0.0,6,1
581595,0.5212669372558594,0.0,0.0,8,1
581615,0.5212669372558594,0.0,0.0,8,1
581635,0.5212669372558594,0.0,0.0,8,1
581655,0.5212669372558594,0.0,0.0,8,1
581675,0.5212669372558594,0.0,0.0,8,1
581695,0.5212669372558594,0.0,0.0,8,1
581715,0.5212669372558594,0.0,0.0,8,1
581735,0.5212669372558594,0.0,0.0,8,1
581755,0.5212669372558594,0.0,0.0,8,1
581775,0.5212669372558594,0.0,0.0,8,1
581795,0.5212669372558594,0.0,0.0,8,1
581815,0.5212669372558594,0.0,0.0,8,1
581835,0.5212669372558594,0.0,0.0,8,1
581855,0.5212669372558594,0.0,0.0,8,1
581875,0.5212669372558594,0.0,0.0,8,1
581895,0.5212669372558594,0.0,0.0,8,1
581915,0.5212669372558594,0.0,0.0,8,1
581935,0.5212669372558594,0.0,0.0,8,1
581955,0.5212669372558594,0.0,0.0,8,1
581975,0.5212669372558594,0.0,0.0,8,1
581995,0.5212669372558594,0.0,0.0,8,1
582015,0.5212669372558594,0.0,0.0,8,1
582035,0.5212669372558594,0.0,0.0,8,1
582055,0.5212669372558594,0.0,0.0,8,1
582075,0.5212669372558594,0.0,0.0,8,1
582095,0.5212669372558594,0.0,0.0,8,1
582115,0.5212669372558594,0.0,0.0,8,1
582135,0.5212669372558594,0.0,0.0,8,1
