Timestamp,sensorFilter.baroAge0,sensorFilter.baroLag0,sensorFilter.baroSeen0,sensorFilter.tofAge0,sensorFilter.vz0
574239,1,1,1,1,-0.040780555456876755
574259,1,1,1,1,-0.040780555456876755
574279,1,1,1,1,-0.040780555456876755
574299,1,1,1,1,-0.040780555456876755
574319,1,1,1,1,-0.040780555456876755
574339,1,1,1,1,-0.040780555456876755
574359,1,1,1,1,-0.040780555456876755
574379,1,1,1,1,-0.040780555456876755
574399,1,1,1,1,-0.040780555456876755
574419,1,1,1,1,-0.040780555456876755
574439,1,1,1,1,-0.040780555456876755
574459,1,1,1,1,-0.040780555456876755
574479,1,1,1,1,-0.040780555456876755
574499,1,1,1,1,-0.040780555456876755
574519,1,1,1,1,-0.040780555456876755
574539,1,1,1,1,-0.040780555456876755
574559,1,1,1,1,-0.040780555456876755
574579,1,1,1,1,-0.040780555456876755
574599,1,1,1,1,-0.040780555456876755
574619,1,1,1,1,-0.040780555456876755
574639,1,1,1,1,-0.040780555456876755
574659,1,1,1,1,-0.040780555456876755
574679,1,1,1,1,-0.040780555456876755
574699,1,1,1,1,-0.040780555456876755
574719,1,1,1,1,-0.040780555456876755
574739,1,1,1,1,-0.040780555456876755
574759,1,1,1,1,-0.040780555456876755
574779,1,1,1,1,-0.040780555456876755
574799,1,1,1,1,-0.040780555456876755
574819,1,1,1,1,-0.040780555456876755
574839,1,1,1,1,-0.040780555456876755
574859,1,1,1,1,-0.040780555456876755
574879,1,1,1,1,-0.040780555456876755
574899,1,1,1,1,-0.040780555456876755
574919,1,1,1,1,-0.040780555456876755
574939,1,1,1,1,-0.040780555456876755
574959,1,1,1,1,-0.040780555456876755
574979,1,1,1,1,-0.040780555456876755
574999,1,1,1,1,-0.040780555456876755
575019,1,1,1,1,-0.040780555456876755
575039,1,1,1,1,-0.040780555456876755
575059,1,1,1,1,-0.040780555456876755
575079,1,1,1,1,-0.040780555456876755
575099,1,1,1,1,-0.040780555456876755
575119,1,1,1,1,-0.040780555456876755
575139,1,1,1,1,-0.040780555456876755
575159,1,1,1,1,-0.040780555456876755
575179,1,1,1,1,-0.040780555456876755
575199,1,1,1,1,-0.040780555456876755
575219,1,1,1,1,-0.040780555456876755
575239,1,1,1,1,-0.040780555456876755
575259,1,1,1,1,-0.040780555456876755
575279,1,1,1,1,-0.040780555456876755
575299,1,1,1,1,-0.040780555456876755
575319,1,1,1,1,-0.040780555456876755
575339,1,1,1,1,-0.040780555456876755
575359,1,1,1,1,-0.040780555456876755
575379,1,1,1,1,-0.040780555456876755
575399,1,1,1,1,-0.040780555456876755
575419,1,1,1,1,-0.040780555456876755
575439,1,1,1,1,-0.040780555456876755
575459,1,1,1,1,-0.040780555456876755
575479,1,1,1,1,-0.040780555456876755
575499,1,1,1,1,-0.040780555456876755
575519,1,1,1,1,-0.040780555456876755
575539,1,1,1,1,-0.040780555456876755
575559,1,1,1,1,-0.040780555456876755
575579,1,1,1,1,-0.040780555456876755
575599,1,1,1,1,-0.040780555456876755
575619,1,1,1,1,-0.040780555456876755
575639,1,1,1,1,-0.040780555456876755
575659,1,1,1,1,-0.040780555456876755
575679,1,1,1,1,-0.040780555456876755
575699,1,1,1,1,-0.040780555456876755
575719,1,1,1,1,-0.040780555456876755
575739,1,1,1,1,-0.040780555456876755
575759,1,1,1,1,-0.040780555456876755
