Timestamp,sensorFilter.baroAge,sensorFilter.baroLag,sensorFilter.baroSeen,sensorFilter.lateElig,sensorFilter.tofAge
4992454,8,15,1,0,1
4992474,8,15,1,0,1
4992494,11,21,1,0,1
4992514,11,21,1,0,1
4992534,14,27,1,0,1
4992554,14,27,1,0,1
4992574,17,33,1,0,1
4992594,17,33,1,0,1
4992614,20,39,1,0,1
4992634,20,39,1,0,1
4992654,3,5,1,0,1
4992674,3,5,1,0,1
4992694,3,5,1,0,1
4992714,6,11,1,0,1
4992734,6,11,1,0,1
4992754,9,17,1,0,1
4992774,9,17,1,0,1
4992794,12,23,1,0,1
4992814,12,23,1,0,1
4992834,15,29,1,0,1
4992854,15,29,1,0,1
4992874,18,35,1,0,1
4992894,18,35,1,0,1
4992914,0,1,1,0,0
4992934,0,1,1,0,0
4992954,3,5,1,0,0
4992974,3,5,1,0,0
4992994,3,5,1,0,0
4993014,6,11,1,0,0
4993034,6,11,1,0,0
4993054,9,17,1,0,0
4993074,9,17,1,0,0
4993094,12,23,1,0,0
4993114,12,23,1,0,0
4993134,14,29,1,0,0
4993154,14,29,1,0,0
4993174,17,35,1,0,0
4993194,17,35,1,0,0
4993214,0,1,1,0,0
4993234,0,1,1,0,0
4993254,3,7,1,0,0
4993274,3,7,1,0,0
4993294,3,7,1,0,0
4993314,6,13,1,0,0
4993334,6,13,1,0,0
4993354,10,19,1,0,1
4993374,10,19,1,0,1
4993394,13,25,1,0,1
4993414,13,25,1,0,1
4993434,16,31,1,0,1
4993454,16,31,1,0,1
4993474,19,37,1,0,1
4993494,19,37,1,0,1
4993514,2,3,1,0,1
4993534,2,3,1,0,1
4993554,2,3,1,0,1
4993574,5,9,1,0,1
4993594,5,9,1,0,1
4993614,8,15,1,0,1
4993634,8,15,1,0,1
4993654,11,21,1,0,1
4993674,11,21,1,0,1
4993694,13,27,1,0,0
4993714,13,27,1,0,0
4993734,17,33,1,0,1
4993754,17,33,1,0,1
4993774,20,39,1,0,1
4993794,20,39,1,0,1
4993814,3,5,1,0,1
4993834,3,5,1,0,1
4993854,3,5,1,0,1
4993874,5,11,1,0,0
4993894,5,11,1,0,0
4993914,8,15,1,0,0
4993934,8,15,1,0,0
4993954,11,21,1,0,0
4993974,11,21,1,0,0
4993994,14,27,1,0,0
4994014,14,27,1,0,0
4994034,17,33,1,0,0
4994054,17,33,1,0,0
4994074,20,39,1,0,1
4994094,20,39,1,0,1
4994114,2,5,1,0,0
4994134,2,5,1,0,0
4994154,2,5,1,0,0
4994174,5,11,1,0,0
4994194,5,11,1,0,0
4994214,8,17,1,0,0
4994234,8,17,1,0,0
4994254,12,23,1,0,1
4994274,12,23,1,0,1
4994294,15,29,1,0,1
4994314,15,29,1,0,1
4994334,18,35,1,0,1
4994354,18,35,1,0,1
4994374,1,1,1,0,1
4994394,1,1,1,0,1
4994414,4,7,1,0,1
4994434,4,7,1,0,1
4994454,4,7,1,0,1
4994474,7,13,1,0,1
4994494,7,13,1,0,1
4994514,10,19,1,0,1
4994534,10,19,1,0,1
4994554,13,25,1,0,1
