Timestamp,sensorFilter.baroAgeD,sensorFilter.baroLagD,sensorFilter.baroSeenD,sensorFilter.tofAgeD,sensorFilter.vzDec
4988013,0,0,0,0,0.0
4988033,0,0,0,0,0.0
4988053,0,0,0,0,0.0
4988073,0,0,0,0,0.0
4988093,0,0,0,0,0.0
4988113,0,0,0,0,0.0
4988133,0,0,0,0,0.0
4988153,0,0,0,0,0.0
4988173,0,0,0,0,0.0
4988193,0,0,0,0,0.0
4988213,0,0,0,0,0.0
4988233,0,0,0,0,0.0
4988253,0,0,0,0,0.0
4988273,0,0,0,0,0.0
4988293,0,0,0,0,0.0
4988313,0,0,0,0,0.0
4988333,0,0,0,0,0.0
4988353,0,0,0,0,0.0
4988373,0,0,0,0,0.0
4988393,0,0,0,0,0.0
4988413,0,0,0,0,0.0
4988433,0,0,0,0,0.0
4988453,0,0,0,0,0.0
4988473,0,0,0,0,0.0
4988493,0,0,0,0,0.0
4988513,0,0,0,0,0.0
4988533,0,0,0,0,0.0
4988553,0,0,0,0,0.0
4988573,0,0,0,0,0.0
4988593,0,0,0,0,0.0
4988613,0,0,0,0,0.0
4988633,0,0,0,0,0.0
4988653,0,0,0,0,0.0
4988673,0,0,0,0,0.0
4988693,0,0,0,0,0.0
4988713,0,0,0,0,0.0
4988733,0,0,0,0,0.0
4988753,0,0,0,0,0.0
4988773,0,0,0,0,0.0
4988793,0,0,0,0,0.0
4988813,0,0,0,0,0.0
4988833,0,0,0,0,0.0
4988853,0,0,0,0,0.0
4988873,0,0,0,0,0.0
4988893,0,0,0,0,0.0
4988913,0,0,0,0,0.0
4988933,0,0,0,0,0.0
4988953,0,0,0,0,0.0
4988973,0,0,0,0,0.0
4988993,0,0,0,0,0.0
4989013,0,0,0,0,0.0
4989033,0,0,0,0,0.0
4989053,0,0,0,0,0.0
4989073,0,0,0,0,0.0
4989093,0,0,0,0,0.0
4989113,0,0,0,0,0.0
4989133,0,0,0,0,0.0
4989153,0,0,0,0,0.0
4989173,0,0,0,0,0.0
4989193,0,0,0,0,0.0
4989213,0,0,0,0,0.0
4989233,0,0,0,0,0.0
4989253,0,0,0,0,0.0
4989273,0,0,0,0,0.0
4989293,0,0,0,0,0.0
4989313,0,0,0,0,0.0
4989333,0,0,0,0,0.0
4989353,0,0,0,0,0.0
4989373,0,0,0,0,0.0
4989393,0,0,0,0,0.0
4989413,0,0,0,0,0.0
4989433,0,0,0,0,0.0
4989453,0,0,0,0,0.0
4989473,0,0,0,0,0.0
4989493,0,0,0,0,0.0
4989513,0,0,0,0,0.0
4989533,0,0,0,0,0.0
4989553,0,0,0,0,0.0
4989573,0,0,0,0,0.0
4989593,0,0,0,0,0.0
4989613,0,0,0,0,0.0
4989633,0,0,0,0,0.0
4989653,0,0,0,0,0.0
4989673,0,0,0,0,0.0
4989693,0,0,0,0,0.0
4989713,0,0,0,0,0.0
4989733,0,0,0,0,0.0
4989753,0,0,0,0,0.0
4989773,0,0,0,0,0.0
4989793,0,0,0,0,0.0
4989813,0,0,0,0,0.0
4989833,0,0,0,0,0.0
4989853,0,0,0,0,0.0
4989873,0,0,0,0,0.0
4989893,0,0,0,0,0.0
4989913,0,0,0,0,0.0
4989933,0,0,0,0,0.0
4989953,0,0,0,0,0.0
4989973,0,0,0,0,0.0
4989993,0,0,0,0,0.0
4990013,0,0,0,0,0.0
4990033,0,0,0,0,0.0
4990053,0,0,0,0,0.0
4990073,0,0,0,0,0.0
4990093,0,0,0,0,0.0
4990113,0,0,0,0,0.0
4990133,0,0,0,0,0.0
4990153,0,0,0,0,0.0
4990173,0,0,0,0,0.0
4990193,0,0,0,0,0.0
4990213,0,0,0,0,0.0
4990233,0,0,0,0,0.0
4990253,0,0,0,0,0.0
4990273,0,0,0,0,0.0
4990293,0,0,0,0,0.0
4990313,0,0,0,0,0.0
4990333,0,0,0,0,0.0
4990353,0,0,0,0,0.0
4990373,0,0,0,0,0.0
4990393,0,0,0,0,0.0
4990413,0,0,0,0,0.0
4990433,0,0,0,0,0.0
4990453,0,0,0,0,0.0
4990473,0,0,0,0,0.0
4990493,0,0,0,0,0.0
4990513,0,0,0,0,0.0
4990533,0,0,0,0,0.0
4990553,0,0,0,0,0.0
4990573,0,0,0,0,0.0
4990593,0,0,0,0,0.0
4990613,0,0,0,0,0.0
4990633,0,0,0,0,0.0
4990653,0,0,0,0,0.0
4990673,0,0,0,0,0.0
4990693,0,0,0,0,0.0
4990713,0,0,0,0,0.0
4990733,0,0,0,0,0.0
4990753,0,0,0,0,0.0
4990773,0,0,0,0,0.0
4990793,0,0,0,0,0.0
4990813,0,0,0,0,0.0
4990833,0,0,0,0,0.0
4990853,0,0,0,0,0.0
4990873,0,0,0,0,0.0
4990893,0,0,0,0,0.0
4990913,0,0,0,0,0.0
4990933,0,0,0,0,0.0
4990953,0,0,0,0,0.0
4990973,0,0,0,0,0.0
4990993,0,0,0,0,0.0
4991013,0,0,0,0,0.0
4991033,0,0,0,0,0.0
4991053,0,0,0,0,0.0
4991073,0,0,0,0,0.0
4991093,0,0,0,0,0.0
4991113,0,0,0,0,0.0
4991133,0,0,0,0,0.0
4991153,0,0,0,0,0.0
4991173,0,0,0,0,0.0
4991193,0,0,0,0,0.0
4991213,0,0,0,0,0.0
4991233,0,0,0,0,0.0
4991253,0,0,0,0,0.0
4991273,0,0,0,0,0.0
4991293,0,0,0,0,0.0
4991313,0,0,0,0,0.0
4991333,0,0,0,0,0.0
4991353,0,0,0,0,0.0
4991373,0,0,0,0,0.0
4991393,0,0,0,0,0.0
4991413,0,0,0,0,0.0
4991433,0,0,0,0,0.0
4991453,0,0,0,0,0.0
4991473,0,0,0,0,0.0
4991493,0,0,0,0,0.0
4991513,0,0,0,0,0.0
4991533,0,0,0,0,0.0
4991553,0,0,0,0,0.0
4991573,0,0,0,0,0.0
4991593,0,0,0,0,0.0
4991613,0,0,0,0,0.0
4991633,0,0,0,0,0.0
4991653,0,0,0,0,0.0
4991673,0,0,0,0,0.0
4991693,0,0,0,0,0.0
4991713,0,0,0,0,0.0
4991733,0,0,0,0,0.0
4991753,0,0,0,0,0.0
4991773,0,0,0,0,0.0
4991793,0,0,0,0,0.0
4991813,0,0,0,0,0.0
4991833,0,0,0,0,0.0
4991853,0,0,0,0,0.0
4991873,0,0,0,0,0.0
4991893,0,0,0,0,0.0
4991913,0,0,0,0,0.0
4991933,0,0,0,0,0.0
4991953,0,0,0,0,0.0
4991973,0,0,0,0,0.0
4991993,0,0,0,0,0.0
4992013,0,0,0,0,0.0
4992033,0,0,0,0,0.0
4992053,0,0,0,0,0.0
4992073,0,0,0,0,0.0
4992093,0,0,0,0,0.0
4992113,0,0,0,0,0.0
4992133,0,0,0,0,0.0
4992153,0,0,0,0,0.0
4992173,0,0,0,0,0.0
4992193,0,0,0,0,0.0
4992213,0,0,0,0,0.0
4992233,0,0,0,0,0.0
4992253,0,0,0,0,0.0
4992273,0,0,0,0,0.0
4992293,0,0,0,0,0.0
4992313,0,0,0,0,0.0
4992333,0,0,0,0,0.0
4992353,0,0,0,0,0.0
4992373,0,0,0,0,0.0
4992393,0,0,0,0,0.0
4992413,0,0,0,0,0.0
4992433,0,0,0,0,0.0
4992453,0,0,0,0,0.0
4992473,0,0,0,0,0.0
4992493,0,0,0,0,0.0
4992513,0,0,0,0,0.0
4992533,0,0,0,0,0.0
4992553,0,0,0,0,0.0
4992573,0,0,0,0,0.0
4992593,0,0,0,0,0.0
4992613,0,0,0,0,0.0
4992633,0,0,0,0,0.0
4992653,0,0,0,0,0.0
4992673,0,0,0,0,0.0
4992693,0,0,0,0,0.0
4992713,0,0,0,0,0.0
4992733,0,0,0,0,0.0
4992753,0,0,0,0,0.0
4992773,0,0,0,0,0.0
4992793,0,0,0,0,0.0
4992813,0,0,0,0,0.0
