Timestamp,sensorFilter.flowLocal,sensorFilter.surfBaroD,sensorFilter.surfCand,sensorFilter.surfOffset,sensorFilter.surfReason,sensorFilter.surfState
4989480,0,0.21051979064941406,-0.055240362882614136,0.0,8,1
4989500,0,0.21051979064941406,-0.055240362882614136,0.0,8,1
4989520,0,0.16130733489990234,-0.05912187695503235,0.0,8,1
4989540,0,0.16130733489990234,-0.05912187695503235,0.0,8,1
4989560,0,0.04374408721923828,-0.06312951445579529,0.0,6,1
4989580,0,0.04374408721923828,-0.06312951445579529,0.0,6,1
4989600,0,0.14216899871826172,-0.07411924004554749,0.0,8,1
4989620,0,0.14216899871826172,-0.07411924004554749,0.0,8,1
4989640,0,0.18044567108154297,-0.07521417737007141,0.0,8,1
4989660,0,0.18044567108154297,-0.07521417737007141,0.0,8,1
4989680,0,0.18044567108154297,-0.07521417737007141,0.0,8,1
4989700,0,0.08202075958251953,-0.07918134331703186,0.0,8,1
4989720,0,0.08202075958251953,-0.07918134331703186,0.0,8,1
4989740,0,0.16677570343017578,-0.08715823292732239,0.0,8,1
4989760,0,0.16677570343017578,-0.08715823292732239,0.0,8,1
4989780,0,0.16404151916503906,-0.09308966994285583,0.0,8,1
4989800,0,0.16404151916503906,-0.09308966994285583,0.0,8,1
4989820,0,0.12029743194580078,-0.095069020986557,0.0,8,1
4989840,0,0.12029743194580078,-0.095069020986557,0.0,8,1
4989860,0,0.25699806213378906,-0.10294041037559509,0.0,8,1
4989880,0,0.25699806213378906,-0.10294041037559509,0.0,8,1
4989900,0,0.18864822387695312,-0.10889038443565369,0.0,8,1
4989920,0,0.18864822387695312,-0.10889038443565369,0.0,8,1
4989940,0,0.20778560638427734,-0.111920565366745,0.0,8,1
4989960,0,0.20778560638427734,-0.111920565366745,0.0,8,1
4989980,0,0.20778560638427734,-0.111920565366745,0.0,8,1
4990000,0,0.16130733489990234,-0.11473330855369568,0.0,8,1
4990020,0,0.16130733489990234,-0.11473330855369568,0.0,8,1
4990040,0,0.16677570343017578,-0.11867240071296692,0.0,8,1
4990060,0,0.16677570343017578,-0.11867240071296692,0.0,8,1
4990080,0,0.12849903106689453,-0.12360396981239319,0.0,8,1
4990100,0,0.12849903106689453,-0.12360396981239319,0.0,8,1
4990120,0,0.06014823913574219,-0.1273529827594757,0.0,6,1
4990140,0,0.06014823913574219,-0.1273529827594757,0.0,6,1
4990160,0,0.11756229400634766,-0.13322296738624573,0.0,8,1
4990180,0,0.11756229400634766,-0.13322296738624573,0.0,8,1
4990200,0,0.13123226165771484,-0.13422539830207825,0.0,8,1
4990220,0,0.13123226165771484,-0.13422539830207825,0.0,8,1
4990240,0,0.1230316162109375,-0.13231590390205383,0.0,8,1
