Timestamp,sensorFilter.baro0,sensorFilter.baroDDec,sensorFilter.baroDec,sensorFilter.surfReason,sensorFilter.surfState
4982644,0.0,0.0,0.0,0,0
4982664,0.0,0.0,0.0,0,0
4982684,0.0,0.0,0.0,0,0
4982704,0.0,0.0,0.0,0,0
4982724,0.0,0.0,0.0,0,0
4982744,0.0,0.0,0.0,0,0
4982764,0.0,0.0,0.0,0,0
4982784,0.0,0.0,0.0,0,0
4982804,0.0,0.0,0.0,0,0
4982824,0.0,0.0,0.0,0,0
4982844,0.0,0.0,0.0,0,0
4982864,0.0,0.0,0.0,0,0
4982884,0.0,0.0,0.0,0,0
4982904,0.0,0.0,0.0,0,0
4982924,0.0,0.0,0.0,0,0
4982944,0.0,0.0,0.0,0,0
4982964,0.0,0.0,0.0,0,0
4982984,0.0,0.0,0.0,0,0
4983004,0.0,0.0,0.0,0,0
4983024,0.0,0.0,0.0,0,0
4983044,0.0,0.0,0.0,0,0
4983064,0.0,0.0,0.0,0,0
4983084,0.0,0.0,0.0,0,0
4983104,0.0,0.0,0.0,0,0
4983124,0.0,0.0,0.0,0,0
4983144,0.0,0.0,0.0,0,0
4983164,0.0,0.0,0.0,0,0
4983184,0.0,0.0,0.0,0,0
4983204,0.0,0.0,0.0,0,0
4983224,0.0,0.0,0.0,0,0
4983244,0.0,0.0,0.0,0,0
4983264,0.0,0.0,0.0,0,0
4983284,0.0,0.0,0.0,0,0
4983304,0.0,0.0,0.0,0,0
4983324,0.0,0.0,0.0,0,0
4983344,0.0,0.0,0.0,0,0
4983364,0.0,0.0,0.0,0,0
4983384,0.0,0.0,0.0,0,0
4983404,0.0,0.0,0.0,0,0
4983424,0.0,0.0,0.0,0,0
4983444,0.0,0.0,0.0,0,0
4983464,0.0,0.0,0.0,0,0
4983484,0.0,0.0,0.0,0,0
4983504,0.0,0.0,0.0,0,0
4983524,0.0,0.0,0.0,0,0
4983544,0.0,0.0,0.0,0,0
4983564,0.0,0.0,0.0,0,0
4983584,0.0,0.0,0.0,0,0
4983604,0.0,0.0,0.0,0,0
4983624,0.0,0.0,0.0,0,0
4983644,0.0,0.0,0.0,0,0
4983664,0.0,0.0,0.0,0,0
4983684,0.0,0.0,0.0,0,0
4983704,0.0,0.0,0.0,0,0
4983724,0.0,0.0,0.0,0,0
4983744,0.0,0.0,0.0,0,0
4983764,0.0,0.0,0.0,0,0
4983784,0.0,0.0,0.0,0,0
4983804,0.0,0.0,0.0,0,0
4983824,0.0,0.0,0.0,0,0
4983844,0.0,0.0,0.0,0,0
4983864,0.0,0.0,0.0,0,0
4983884,0.0,0.0,0.0,0,0
4983904,0.0,0.0,0.0,0,0
4983924,0.0,0.0,0.0,0,0
4983944,0.0,0.0,0.0,0,0
4983964,0.0,0.0,0.0,0,0
4983984,0.0,0.0,0.0,0,0
4984004,0.0,0.0,0.0,0,0
4984024,0.0,0.0,0.0,0,0
4984044,0.0,0.0,0.0,0,0
4984064,0.0,0.0,0.0,0,0
4984084,0.0,0.0,0.0,0,0
4984104,0.0,0.0,0.0,0,0
4984124,0.0,0.0,0.0,0,0
4984144,0.0,0.0,0.0,0,0
4984164,0.0,0.0,0.0,0,0
4984184,0.0,0.0,0.0,0,0
4984204,0.0,0.0,0.0,0,0
4984224,0.0,0.0,0.0,0,0
4984244,0.0,0.0,0.0,0,0
4984264,0.0,0.0,0.0,0,0
4984284,0.0,0.0,0.0,0,0
4984304,0.0,0.0,0.0,0,0
4984324,0.0,0.0,0.0,0,0
4984344,0.0,0.0,0.0,0,0
4984364,0.0,0.0,0.0,0,0
4984384,0.0,0.0,0.0,0,0
4984404,0.0,0.0,0.0,0,0
4984424,0.0,0.0,0.0,0,0
4984444,0.5247688293457031,0.0,0.0,2,1
4984464,0.5247688293457031,0.0,0.0,2,1
4984484,0.5247688293457031,0.0,0.0,2,1
4984504,0.5247688293457031,0.0,0.0,2,1
4984524,0.5247688293457031,0.0,0.0,8,1
4984544,0.5247688293457031,0.0,0.0,8,1
4984564,0.5247688293457031,0.0,0.0,7,1
4984584,0.5247688293457031,0.0,0.0,7,1
4984604,0.5247688293457031,0.0,0.0,8,1
4984624,0.5247688293457031,0.0,0.0,8,1
4984644,0.5247688293457031,0.0,0.0,8,1
4984664,0.5247688293457031,0.0,0.0,7,1
4984684,0.5247688293457031,0.0,0.0,7,1
4984704,0.5247688293457031,0.0,0.0,7,1
4984724,0.5247688293457031,0.0,0.0,7,1
4984744,0.5247688293457031,0.0,0.0,8,1
4984764,0.5247688293457031,0.0,0.0,8,1
4984784,0.5247688293457031,0.0,0.0,8,1
4984804,0.5247688293457031,0.0,0.0,8,1
4984824,0.5247688293457031,0.0,0.0,6,1
4984844,0.5247688293457031,0.0,0.0,6,1
4984864,0.5247688293457031,0.0,0.0,8,1
4984884,0.5247688293457031,0.0,0.0,8,1
4984904,0.5247688293457031,0.0,0.0,6,1
4984924,0.5247688293457031,0.0,0.0,6,1
4984944,0.5247688293457031,0.0,0.0,6,1
4984964,0.5247688293457031,0.0,0.0,6,1
4984984,0.5247688293457031,0.0,0.0,8,1
4985004,0.5247688293457031,0.0,0.0,8,1
4985024,0.5247688293457031,0.0,0.0,8,1
4985044,0.5247688293457031,0.0,0.0,8,1
4985064,0.5247688293457031,0.0,0.0,8,1
4985084,0.5247688293457031,0.0,0.0,8,1
4985104,0.5247688293457031,0.0,0.0,8,1
4985124,0.5247688293457031,0.0,0.0,8,1
4985144,0.5247688293457031,0.0,0.0,8,1
4985164,0.5247688293457031,0.0,0.0,6,1
4985184,0.5247688293457031,0.0,0.0,6,1
4985204,0.5247688293457031,0.0,0.0,6,1
