Timestamp,sensorFilter.flowLocal,sensorFilter.surfBaroD,sensorFilter.surfCand,sensorFilter.surfCandInn,sensorFilter.surfClear,sensorFilter.surfN,sensorFilter.surfOffset
5604099,0,0.0,0.0,0.16557207703590393,0.6219425201416016,0,0.0
5604119,0,0.0,0.0,0.16557207703590393,0.6219425201416016,0,0.0
5604139,0,0.0,0.0,0.20828594267368317,0.6219396591186523,0,0.0
5604159,0,0.0,0.0,0.20828594267368317,0.6219396591186523,0,0.0
5604179,0,0.0,0.0,1.6907451152801514,0.6239901185035706,0,0.0
5604199,0,0.0,0.0,1.6907451152801514,0.6239901185035706,0,0.0
5604219,0,0.0,0.0,3.7468810081481934,0.6259875297546387,0,0.0
5604239,0,0.0,0.0,3.7468810081481934,0.6259875297546387,0,0.0
5604259,0,0.0,0.0,1.1048203706741333,0.6239899396896362,0,0.0
5604279,0,0.0,0.0,1.1048203706741333,0.6239899396896362,0,0.0
5604299,0,0.0,0.0,1.1048203706741333,0.6239899396896362,0,0.0
5604319,0,0.0,0.0,0.14318150281906128,0.6219965815544128,0,0.0
5604339,0,0.0,0.0,0.14318150281906128,0.6219965815544128,0,0.0
5604359,0,0.0,0.0,5.417291164398193,0.626939058303833,0,0.0
5604379,0,0.0,0.0,5.417291164398193,0.626939058303833,0,0.0
5604399,0,0.0,0.0,0.8777400255203247,0.6239393949508667,0,0.0
5604419,0,0.0,0.0,0.8777400255203247,0.6239393949508667,0,0.0
5604439,0,0.0,0.0,0.041198860853910446,0.6209380626678467,0,0.0
5604459,0,0.0,0.0,0.041198860853910446,0.6209380626678467,0,0.0
5604479,0,0.0,0.0,0.14993152022361755,0.6219890117645264,0,0.0
5604499,0,0.0,0.0,0.14993152022361755,0.6219890117645264,0,0.0
5604519,0,0.0,0.0,1.4523658752441406,0.6239861845970154,0,0.0
5604539,0,0.0,0.0,1.4523658752441406,0.6239861845970154,0,0.0
5604559,0,0.0,0.0,2.388493061065674,0.624984860420227,0,0.0
5604579,0,0.0,0.0,2.388493061065674,0.624984860420227,0,0.0
5604599,0,0.0,0.0,2.388493061065674,0.624984860420227,0,0.0
5604619,0,0.0,0.0,2.2594025135040283,0.6249330639839172,0,0.0
5604639,0,0.0,0.0,2.2594025135040283,0.6249330639839172,0,0.0
5604659,0,0.0,0.0,0.5338418483734131,0.6229355335235596,0,0.0
5604679,0,0.0,0.0,0.5338418483734131,0.6229355335235596,0,0.0
5604699,0,0.0,0.0,3.6362874507904053,0.625935971736908,0,0.0
5604719,0,0.0,0.0,3.6362874507904053,0.625935971736908,0,0.0
5604739,0,0.0,0.0,1.9598902463912964,0.6249434351921082,0,0.0
5604759,0,0.0,0.0,1.9598902463912964,0.6249434351921082,0,0.0
5604779,0,0.0,0.0,1.7407790422439575,0.6250035762786865,0,0.0
5604799,0,0.0,0.0,1.7407790422439575,0.6250035762786865,0,0.0
5604819,0,0.0,0.0,1.2774875164031982,0.6250035166740417,0,0.0
5604839,0,0.0,0.0,1.2774875164031982,0.6250035166740417,0,0.0
5604859,0,0.0,0.0,1.2774875164031982,0.6250035166740417,0,0.0
5604879,0,0.0,0.0,0.979395866394043,0.6250025033950806,0,0.0
5604899,0,0.0,0.0,0.979395866394043,0.6250025033950806,0,0.0
5604919,0,0.0,0.0,0.7718478441238403,0.6199435591697693,0,0.0
5604939,0,0.0,0.0,0.7718478441238403,0.6199435591697693,0,0.0
5604959,0,0.0,0.0,0.03598572686314583,0.6209383010864258,0,0.0
5604979,0,0.0,0.0,0.03598572686314583,0.6209383010864258,0,0.0
5604999,0,0.0,0.0,0.11080452799797058,0.6199354529380798,0,0.0
5605019,0,0.0,0.0,0.11080452799797058,0.6199354529380798,0,0.0
5605039,0,0.0,0.0,1.3409698009490967,0.6229931712150574,0,0.0
5605059,0,0.0,0.0,1.3409698009490967,0.6229931712150574,0,0.0
5605079,0,0.0,0.0,0.018718421459197998,0.6199957728385925,0,0.0
5605099,0,0.0,0.0,0.018718421459197998,0.6199957728385925,0,0.0
5605119,0,0.0,0.0,1.1776971817016602,0.6219937801361084,0,0.0
5605139,0,0.0,0.0,1.1776971817016602,0.6219937801361084,0,0.0
5605159,0,0.0,0.0,1.1776971817016602,0.6219937801361084,0,0.0
5605179,0,0.0,0.0,1.2473684549331665,0.6219919323921204,0,0.0
5605199,0,0.0,0.0,1.2473684549331665,0.6219919323921204,0,0.0
5605219,0,0.0,0.0,3.521843194961548,0.6239295601844788,0,0.0
5605239,0,0.0,0.0,3.521843194961548,0.6239295601844788,0,0.0
5605259,0,0.0,0.0,4.436877727508545,0.624929666519165,0,0.0
5605279,0,0.0,0.0,4.436877727508545,0.624929666519165,0,0.0
5605299,0,0.0,0.0,2.395601987838745,0.6239321827888489,0,0.0
5605319,0,0.0,0.0,2.395601987838745,0.6239321827888489,0,0.0
5605339,0,0.0,0.0,0.696402370929718,0.6219932436943054,0,0.0
5605359,0,0.0,0.0,0.696402370929718,0.6219932436943054,0,0.0
5605379,0,0.0,0.0,4.019953727722168,0.6249918937683105,0,0.0
5605399,0,0.0,0.0,4.019953727722168,0.6249918937683105,0,0.0
5605419,0,0.0,0.0,0.0026789980474859476,0.619995653629303,0,0.0
5605439,0,0.0,0.0,0.0026789980474859476,0.619995653629303,0,0.0
5605459,0,0.0,0.0,0.0026789980474859476,0.619995653629303,0,0.0
5605479,0,0.0,0.0,0.00021807772282045335,0.6189362406730652,0,0.0
5605499,0,0.0,0.0,0.00021807772282045335,0.6189362406730652,0,0.0
5605519,0,0.0,0.0,7.790952682495117,0.6259334683418274,0,0.0
5605539,0,0.0,0.0,7.790952682495117,0.6259334683418274,0,0.0
5605559,0,0.0,0.0,2.5836782455444336,0.6239297389984131,0,0.0
5605579,0,0.0,0.0,2.5836782455444336,0.6239297389984131,0,0.0
5605599,0,0.0,0.0,0.264005184173584,0.6189759373664856,0,0.0
5605619,0,0.0,0.0,0.264005184173584,0.6189759373664856,0,0.0
5605639,0,0.0,0.0,3.2313246726989746,0.624966561794281,0,0.0
5605659,0,0.0,0.0,3.2313246726989746,0.624966561794281,0,0.0
5605679,0,0.0,0.0,3.4725208282470703,0.6259650588035583,0,0.0
5605699,0,0.0,0.0,3.4725208282470703,0.6259650588035583,0,0.0
5605719,0,0.0,0.0,3.4725208282470703,0.6259650588035583,0,0.0
5605739,0,0.0,0.0,3.521824598312378,0.6269652843475342,0,0.0
5605759,0,0.0,0.0,3.521824598312378,0.6269652843475342,0,0.0
5605779,0,0.0,0.0,0.4605901539325714,0.6248933672904968,0,0.0
5605799,0,0.0,0.0,0.4605901539325714,0.6248933672904968,0,0.0
5605819,0,0.0,0.0,5.151071548461914,0.6298794746398926,0,0.0
5605839,0,0.0,0.0,5.151071548461914,0.6298794746398926,0,0.0
5605859,0,0.0,0.0,2.2511680126190186,0.6288756728172302,0,0.0
5605879,0,0.0,0.0,2.2511680126190186,0.6288756728172302,0,0.0
5605899,0,0.0,0.0,1.0969640016555786,0.6279377937316895,0,0.0
5605919,0,0.0,0.0,1.0969640016555786,0.6279377937316895,0,0.0
5605939,0,0.0,0.0,0.0009389715269207954,0.6249380707740784,0,0.0
5605959,0,0.0,0.0,0.0009389715269207954,0.6249380707740784,0,0.0
5605979,0,0.0,0.0,0.0009389715269207954,0.6249380707740784,0,0.0
