Timestamp,sensorFilter.baroAge0,sensorFilter.baroLag0,sensorFilter.baroSeen0,sensorFilter.tofAge0,sensorFilter.vz0
5609481,7,13,1,0,-0.14441728591918945
5609501,7,13,1,0,-0.14441728591918945
5609521,7,13,1,0,-0.14441728591918945
5609541,7,13,1,0,-0.14441728591918945
5609561,7,13,1,0,-0.14441728591918945
5609581,7,13,1,0,-0.14441728591918945
5609601,7,13,1,0,-0.14441728591918945
5609621,7,13,1,0,-0.14441728591918945
5609641,7,13,1,0,-0.14441728591918945
5609661,7,13,1,0,-0.14441728591918945
5609681,7,13,1,0,-0.14441728591918945
5609701,7,13,1,0,-0.14441728591918945
5609721,7,13,1,0,-0.14441728591918945
5609741,7,13,1,0,-0.14441728591918945
5609761,7,13,1,0,-0.14441728591918945
5609781,7,13,1,0,-0.14441728591918945
5609801,7,13,1,0,-0.14441728591918945
5609821,7,13,1,0,-0.14441728591918945
5609841,7,13,1,0,-0.14441728591918945
5609861,7,13,1,0,-0.14441728591918945
5609881,7,13,1,0,-0.14441728591918945
5609901,7,13,1,0,-0.14441728591918945
5609921,7,13,1,0,-0.14441728591918945
5609941,7,13,1,0,-0.14441728591918945
5609961,7,13,1,0,-0.14441728591918945
5609981,7,13,1,0,-0.14441728591918945
5610001,7,13,1,0,-0.14441728591918945
5610021,7,13,1,0,-0.14441728591918945
5610041,7,13,1,0,-0.14441728591918945
5610061,7,13,1,0,-0.14441728591918945
5610081,7,13,1,0,-0.14441728591918945
5610101,7,13,1,0,-0.14441728591918945
5610121,7,13,1,0,-0.14441728591918945
5610141,7,13,1,0,-0.14441728591918945
5610161,7,13,1,0,-0.14441728591918945
5610181,7,13,1,0,-0.14441728591918945
5610201,7,13,1,0,-0.14441728591918945
5610221,7,13,1,0,-0.14441728591918945
5610241,7,13,1,0,-0.14441728591918945
5610261,7,13,1,0,-0.14441728591918945
5610281,7,13,1,0,-0.14441728591918945
5610301,7,13,1,0,-0.14441728591918945
5610321,7,13,1,0,-0.14441728591918945
5610341,7,13,1,0,-0.14441728591918945
5610361,7,13,1,0,-0.14441728591918945
