cf_timestamp_ms,host_monotonic_s,range.zrange,stabilizer.roll,stabilizer.pitch
137235,1930.808975,773,-4.082419395446777,2.7399120330810547
137255,1930.828980,777,-4.050356388092041,2.732221841812134
137275,1930.849972,777,-3.9833109378814697,2.5805141925811768
137295,1930.869981,788,-3.854580879211426,2.523837089538574
137315,1930.889974,788,-3.819812536239624,2.468827724456787
137335,1930.908978,788,-3.858391523361206,2.5302610397338867
137355,1930.929972,788,-3.7752182483673096,2.5906052589416504
137375,1930.950558,798,-3.7312326431274414,2.56404709815979
137395,1930.969558,798,-3.617366075515747,2.5569512844085693
137415,1930.989516,806,-3.49591326713562,2.6482818126678467
137435,1931.009522,806,-3.31630277633667,2.787834405899048
137455,1931.029518,812,-3.111527442932129,2.9296932220458984
137475,1931.049538,812,-3.1214535236358643,3.0580320358276367
137495,1931.069535,812,-3.1709203720092773,3.1207146644592285
137515,1931.089535,817,-2.951105833053589,3.039397716522217
137535,1931.108537,817,-2.7820489406585693,2.991028308868408
137555,1931.129540,830,-2.8592112064361572,2.9178240299224854
137575,1931.149551,830,-2.874347448348999,2.9944326877593994
137595,1931.169534,839,-2.8476710319519043,3.0296719074249268
137615,1931.188533,839,-2.87375545501709,2.858940839767456
137635,1931.208531,848,-2.9068143367767334,2.6780550479888916
137655,1931.228531,848,-2.91654372215271,2.613246202468872
137675,1931.249534,855,-2.9515810012817383,2.622530221939087
137695,1931.269530,855,-2.917931318283081,2.627270460128784
137715,1931.289528,869,-2.876314878463745,2.537653923034668
137735,1931.309527,869,-2.877089500427246,2.4782567024230957
137755,1931.329530,880,-2.921383857727051,2.595266342163086
137775,1931.349559,880,-2.8839333057403564,2.696803569793701
137795,1931.369553,889,-2.847996234893799,2.709935426712036
137815,1931.389546,889,-2.870116949081421,2.732390880584717
137835,1931.409546,900,-2.7866876125335693,2.7612147331237793
137855,1931.429544,900,-2.740140199661255,2.784053325653076
137875,1931.448545,900,-2.732560634613037,2.738161087036133
137895,1931.469543,903,-2.8067092895507812,2.643449306488037
137915,1931.489543,903,-2.941112995147705,2.6804184913635254
